,title,author,address,booktitle,note,year,volume,number,pages,pages,abstract,ISSN,ISBNs,doi,Funding Information,PDF Link,Author Keywords,IEEE Terms,keywords,series,series,series,note,note,note,note,publisher,ID
0,SAW-BOT: Proposing Fixes for Static Analysis Warnings with GitHub Suggestions,D. Serban; B. Golsteijn; R. Holdorp; A. Serebrenik,"Eindhoven University of Technology, The Netherlands; Philips Research, The Netherlands; Philips Research, The Netherlands; Eindhoven University of Technology, The Netherlands",2021 IEEE/ACM Third International Workshop on Bots in Software Engineering (BotSE),7 Jul 2021,2021,,,26,30,"In this experience report we present SAW-BOT, a bot proposing fixes for static analysis warnings. The bot has been evaluated with five professional software developers by means of a Wizard of Oz experiment, semi-structured interviews and the mTAM questionnaire. We have observed that developers prefer GitHub suggestions to two baseline operation modes. Our study indicates that GitHub suggestions are a viable mechanism for implementing bots proposing fixes for static analysis warnings.",,978-1-6654-4468-2,10.1109/BotSE52550.2021.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474413,static analysis;bot;GitHub suggestions,Productivity;Bot (Internet);Correlation;Conferences;Static analysis;Software;Interviews,,7.0,,24.0,IEEE,7 Jul 2021,,,IEEE,IEEE Conferences
1,Leveraging Predictions From Multiple Repositories to Improve Bot Detection,N. Chidambaram; A. Decan; M. Golzadeh,"Software Engineering Lab, University of Mons, Mons, Belgium; Software Engineering Lab, University of Mons, Mons, Belgium; Software Engineering Lab, University of Mons, Mons, Belgium",2022 IEEE/ACM 4th International Workshop on Bots in Software Engineering (BotSE),8 Jul 2022,2022,,,6,9,"Contemporary social coding platforms such as GitHub facilitate collaborative distributed software development. Developers engaged in these platforms often use machine accounts (bots) for automating effort-intensive or repetitive activities. Determining whether a contributor corresponds to a bot or a human account is important in socio-technical studies, for example to assess the positive and negative impact of using bots, analyse the evolution of bots and their usage, identify top human contributors, and so on. BoDeGHa is one of the bot detection tools that have been proposed in the literature. It relies on comment activity within a single repository to predict whether an account is driven by a bot or by a human. This paper presents preliminary results on how the effectiveness of BoDeGHa can be improved by combining the predictions obtained from many repositories at once. We found that doing this not only increases the number of cases for which a prediction can be made, but that many diverging predictions can be fixed this way. These promising, albeit preliminary, results suggest that the “wisdom of the crowd” principle can improve the effectiveness of bot detection tools.",,978-1-4503-9333-1,10.1145/3528228.3528403,"Fonds de la Recherche Scientifique – FNRS(grant numbers:O.0157.18F-RG43,T.0017.18); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814626,GitHub;Bot detection;socio technical analysis;collaborative software development;empirical analysis;software repository mining,Bot (Internet);Conferences;Collaboration;Organizations;Predictive models;Data processing;Software,,3.0,,17.0,,8 Jul 2022,,,IEEE,IEEE Conferences
2,Identifying bot activity in GitHub pull request and issue comments,M. Golzadeh; A. Decan; E. Constantinou; T. Mens,"Software Engineering Lab, University of Mons, Belgium; Software Engineering Lab, University of Mons, Belgium; Eindhoven University of Technology, Netherlands; Software Engineering Lab, University of Mons, Belgium",2021 IEEE/ACM Third International Workshop on Bots in Software Engineering (BotSE),7 Jul 2021,2021,,,21,25,"Development bots are used on Github to automate repetitive activities. Such bots communicate with human actors via issue comments and pull request comments. Identifying such bot comments allows to prevent bias in socio-technical studies related to software development. To automate their identification, we propose a classification model based on natural language processing. Starting from a balanced ground-truth dataset of 19,282 PR and issue comments, we encode the comments as vectors using a combination of the bag of words and TF-IDF techniques. We train a range of binary classifiers to predict the type of comment (human or bot) based on this vector representation. A multinomial Naive Bayes classifier provides the best results. Its performance on a test set containing 50% of the data achieves an average precision, recall, and F1 score of 0.88. Although the model shows a promising result on the pull request and issue comments, further work is required to generalize the model on other types of activities, like commit messages and code reviews.",,978-1-6654-4468-2,10.1109/BotSE52550.2021.00012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474384,GitHub;automated comments;distributed software development;classification model;empirical analysis,Training;Bot (Internet);Analytical models;Predictive models;Probabilistic logic;Software;Natural language processing,,15.0,,20.0,IEEE,7 Jul 2021,,,IEEE,IEEE Conferences
3,On the Accuracy of Bot Detection Techniques,M. Golzadeh; A. Decan; N. Chidambaram,"Software Engineering Lab, University of Mons, Mons, Belgium; Software Engineering Lab, University of Mons, Mons, Belgium; Software Engineering Lab, University of Mons, Mons, Belgium",2022 IEEE/ACM 4th International Workshop on Bots in Software Engineering (BotSE),8 Jul 2022,2022,,,1,5,"Development bots are often used to automate a wide variety of repetitive tasks in collaborative software development. Such bots are commonly among the most active project contributors in terms of commit activity. As such, tools that analyse contributor activity (e.g., for recognizing and giving credit to project members for their contributions) need to take into account the bots and exclude their activity. While there are a few techniques to detect bots in software repositories, these techniques are not perfect and may miss some bots or may wrongly identify some human accounts as bots. In this paper, we present an exploratory study on the accuracy of bot detection techniques on a set of 540 accounts from 27 GitHub projects. We show that none of the bot detection techniques are accurate enough to detect bots among the 20 most active contributors of each project. We show that combining these techniques drastically increases the accuracy and recall of bot detection. We also highlight the importance of considering bots when attributing contributions to humans, since bots are prevalent among the top contributors and responsible for large proportions of commits.",,978-1-4503-9333-1,10.1145/3528228.3528406,"Fonds de la Recherche Scientifique - FNRS(grant numbers:O.0157.18F-RG43,T.0017.18); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814594,social coding platforms;bot detection techniques;contributor attribution;empirical analysis;GitHub;software repository mining,Bot (Internet);Conferences;Collaborative software;Focusing;Software;Encoding;Data mining,,6.0,,13.0,,8 Jul 2022,,,IEEE,IEEE Conferences
4,RABBIT: A tool for identifying bot accounts based on their recent GitHub event history,N. Chidambaram; T. Mens; A. Decan,"Software Engineering Lab University of Mons, Mons, Belgium; Software Engineering Lab University of Mons, Mons, Belgium; F.R.S.-FNRS Research Associate Software Engineering Lab University of Mons, Mons, Belgium",2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,687,691,"Collaborative software development through GitHub repositories frequently relies on bot accounts to automate repetitive and error-prone tasks. This highlights the need to have accurate and efficient bot identification tools. Several such tools have been proposed in the past, but they tend to rely on a substantial amount of historical data, or they limit themselves to a reduced subset of activity types, making them difficult to use at large scale. To overcome these limitations, we developed RABBIT, an open source command-line tool that queries the GitHub Events API to retrieve the recent events of a given GitHub account and predicts whether the account is a human or a bot. RABBIT is based on an XGBoost classification model that relies on six features related to account activities and achieves high performance, with an AUC, F1 score, precision and recall of 0.92. Compared to the state-of-the-art in bot identification, RABBIT exhibits a similar performance in terms of precision, recall and F1 score, while being more than an order of magnitude faster and requiring considerably less data. This makes RABBIT usable on a large scale, capable of processing several thousand accounts per hour efficiently.",2574-3864,979-8-4007-0587-8,,Service Public de Wallonie; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555785,GitHub events;classification model;bot identification,Rabbits;Collaborative software;Predictive models;Chatbots;Software;Data models;History,,,,15.0,,18 Jun 2024,,,IEEE,IEEE Conferences
5,On the Adoption of a TODO Bot on GITHuB: A Preliminary Study,H. Mohayeji; F. Ebert; E. Arts; E. Constantinou; A. Serebrenik,"Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands",2022 IEEE/ACM 4th International Workshop on Bots in Software Engineering (BotSE),8 Jul 2022,2022,,,23,27,"Bots support different software maintenance and evolution activities, such as code review or executing tests. Recently, several bots have been proposed to help developers to keep track of postponed activities, expressed by means of TODO comments: e.g., TODO Bot automatically creates a GITHuB issue when a TODO comment is added to a repository, increasing visibility of TODO comments. In this work, we perform a preliminary evaluation of the impact of the TODO Bot on software development practice. We conjecture that the introduction of the TODO Bot would facilitate keeping track of the TODO comments, and hence encourage developers to use more TODO comments in their code changes. To evaluate this conjecture, we analyze all the 2,208 repositories which have at least one GITHuB issue created by the TODO Bot. Firstly, we investigate to what extent the bot is being used and describe the repositories using the bot. We observe that the majority (54%) of the repositories which adopted the TODO Bot are new, i.e., were created within less than one month of first issue created by the bot, and from those, more than 60% have the issue created within three days. We observe a statistically significant increase in the number of the TODO comments after the adoption of the bot, however with a small effect size. Our results suggest that the adoption of the TODO Bot encourages developers to introduce TODO comments rendering the postponed decisions more visible. Nevertheless, it does not speed up the process of addressing TODO comments or corresponding GITHuB issues.",,978-1-4503-9333-1,10.1145/3528228.3528408,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814459,TODO;bots;technical debt;code comments,Bot (Internet);Software maintenance;Codes;Conferences;Rendering (computer graphics);Complexity theory;Software development management,,3.0,,15.0,,8 Jul 2022,,,IEEE,IEEE Conferences
6,Bot With Interactions: Improving GitHub Pull-Request Feedback Through Two-Way Communication,Z. Hu; E. Gehringer,"Infrastructure & SRE Organization Pinterest, Inc., San Francisco, USA; Department of Computer Science, North Carolina State University, Raleigh, USA",2023 IEEE/ACM 5th International Workshop on Bots in Software Engineering (BotSE),27 Jul 2023,2023,,,28,32,"Projects in our software-engineering course require students to submit GitHub pull requests to an open-source software project containing more than 30,000 lines of source code. Once submitted, code is checked by a static code analyzer, as well as a bot named Danger Bot. The Danger Bot is able to detect more than 40 programmable system-specific guideline violations (which are different from static analysis rules). Although use of the Danger Bot was associated with a decrease of 40% in guideline violations, it also emitted some false positives. Neither staff nor students could change the feedback given by the Danger Bot on pull-request pages, because there was only one-way communication, from bot to humans. In this paper, we discuss how we bypass the limitations of the Danger Bot by introducing the Danger Bot 2.0 (hereinafter, ”the bot”) with two-way communication between humans and the bot. In this way, if students or teaching staff find some false positives produced by the bot, they can tell the bot about this. After teaching staff cancel a particular message as a false positive, the bot will not report that message again until it is re-enabled by the staff. We conducted a pilot study for the bot with two-way communication. Results showed that the bot with two-way communication was associated with a significant 70% decrease of unresolved guideline violations and the elimination of 100% false positives in them. The majority of two-way communications happened between the teaching staff and the bot, especially when teaching staff cancelled all the false positive violations after inspection. There was only one communication between students and the bot.",,979-8-3503-0212-7,10.1109/BotSE59190.2023.00014,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190319,bot;open-source software;software engineering;open-source curriculum;automated feedback,Codes;Source coding;Education;Static analysis;Inspection;Chatbots;Open source software,,1.0,,21.0,IEEE,27 Jul 2023,,,IEEE,IEEE Conferences
7,Do Bots Modify the Workflow of GitHub Teams?,S. Saadat; N. Colmenares; G. Sukthankar,"Department of Computer Science, University of Central Florida, Orlando, Florida; Department of Computer Science, University of Central Florida, Orlando, Florida; Department of Computer Science, University of Central Florida, Orlando, Florida",2021 IEEE/ACM Third International Workshop on Bots in Software Engineering (BotSE),7 Jul 2021,2021,,,1,5,"The ever-increasing complexity of modern software engineering projects makes the usage of automated assistants imperative. Bots can be used to complete repetitive tasks during development and testing, as well as promoting communication between team members through issue reporting and documentation. Although the ultimate aim of these automated assistants is to speed taskwork completion, their inclusion into GitHub repositories may affect teamwork as well. This paper studies the question of how bots modify the team workflow. We examined the event sequences of repositories with bots and without bots using a contrast motif discovery method to detect subsequences that are more prevalent in one set of event sequences vs. the other. Our study reveals that teams with bots are more likely to intersperse comments throughout their coding activities, while not actually being more prolific commenters.",,978-1-6654-4468-2,10.1109/BotSE52550.2021.00008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474411,social coding platforms;sequential pattern mining;bot classification;teamwork,Bot (Internet);Conferences;Documentation;Encoding;Teamwork;Complexity theory;Task analysis,,9.0,,26.0,IEEE,7 Jul 2021,,,IEEE,IEEE Conferences
8,Software Bots in Software Engineering: Benefits and Challenges,M. Wessel; M. A. Gerosa; E. Shihab,"Delft University of Technology, Delft, The Netherlands; Northern Arizona University, Flagstaff, USA; Concordia University, Montreal, Canada",2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),21 Jun 2022,2022,,,724,725,"Software bots are becoming increasingly popular in software engineering (SE). In this tutorial, we define what a bot is and present several examples. We also discuss the many benefits bots provide to the SE community, including helping in development tasks (such as pull request review and integration) and onboarding newcomers to a project. Finally, we discuss the challenges related to interacting with and developing software bots.",2574-3864,978-1-4503-9303-4,10.1145/3524842.3528533,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796186,Software Bots;GitHub Bots;Chatbots;Human-bot Interaction;Open Source Software;Automation;Collaborative Development,Bot (Internet);Tutorials;Software;Data mining;Task analysis;Software engineering,,,,19.0,CCBY,21 Jun 2022,,,IEEE,IEEE Conferences
9,"Bots Don’t Mind Waiting, Do They? Comparing the Interaction With Automatically and Manually Created Pull Requests",M. Wyrich; R. Ghit; T. Haller; C. Müller,"Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany",2021 IEEE/ACM Third International Workshop on Bots in Software Engineering (BotSE),7 Jul 2021,2021,,,6,10,"As a maintainer of an open source software project, you are usually happy about contributions in the form of pull requests that bring the project a step forward. Past studies have shown that when reviewing a pull request, not only its content is taken into account, but also, for example, the social characteristics of the contributor. Whether a contribution is accepted and how long this takes therefore depends not only on the content of the contribution. What we only have indications for so far, however, is that pull requests from bots may be prioritized lower, even if the bots are explicitly deployed by the development team and are considered useful. One goal of the bot research and development community is to design helpful bots to effectively support software development in a variety of ways. To get closer to this goal, in this GitHub mining study, we examine the measurable differences in how maintainers interact with manually created pull requests from humans compared to those created automatically by bots. About one third of all pull requests on GitHub currently come from bots. While pull requests from humans are accepted and merged in 72.53% of all cases, this applies to only 37.38% of bot pull requests. Furthermore, it takes significantly longer for a bot pull request to be interacted with and for it to be merged, even though they contain fewer changes on average than human pull requests. These results suggest that bots have yet to realize their full potential.",,978-1-6654-4468-2,10.1109/BotSE52550.2021.00009,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474402,software bot;human-agent interaction;open source;pull request;github mining study,Bot (Internet);Conferences;Data mining;Research and development;Open source software;Software development management;Software engineering,,14.0,,30.0,IEEE,7 Jul 2021,,,IEEE,IEEE Conferences
