actor_id,login,name,email,bio,tag,Number of followers,Number of following,tfidf_similarity,Number of Activity,Number of Issue,Number of Pull Request,Number of Repository,Number of Commit,Number of Active day,Periodicity of Activities,Number of Connection Account,Median Response Time,label
87618423,0,0,0,0,0,15,0,0.095548613,81124,4,10,48,81059,122,0.932060118,2,531.0,Bot
74838964,0,0,0,0,0,0,0,0.459043889,62405,39189,0,2,23214,361,0.931181601,103,13059.4303,Bot
9011267,1,0,1,0,0,299,0,0.592872871,155847,2191,4141,142094,7410,361,0.917381387,92,13059.4303,Bot
30189103,1,0,0,0,0,20,0,0.602677715,90220,88690,1201,255,74,292,0.894979702,662,50227.75,Bot
57559326,0,0,0,0,0,1,0,0.0,4442,72,293,304,3773,323,0.894860354,6,104465.8493,Bot
29703080,0,0,0,0,1,0,0,0.701310854,10269,10269,0,0,0,347,0.88859582,104,69080.5,Bot
41898282,0,0,0,0,1,0,0,0.031883321,43120984,2503275,1147673,2328124,35804618,361,0.871835702,10669,128510.75,Bot
12962539,1,0,0,0,0,9,0,0.84508113,162792,9525,0,145,153122,361,0.860755013,77,52181.25,Bot
57515506,0,0,0,0,0,6,5,0.143733516,26444,1255,81,108,24993,250,0.85643745,3,13059.4303,Bot
70911038,1,0,0,0,0,9,3,0.913810651,366071,6,0,2,366063,297,0.852220767,1,13059.4303,Bot
40209326,0,0,0,0,1,0,0,0.831605621,280386,280368,18,0,0,361,0.832684113,1466,13059.4303,Bot
32688539,1,0,0,0,1,0,0,0.0,86797,24,35990,35674,15109,360,0.830906571,108,2758.285714,Bot
59560949,0,0,0,0,0,0,0,0.561164217,28560,10900,0,0,17660,360,0.828622972,12,13059.4303,Bot
42928436,0,0,0,0,1,0,0,0.080531111,120471,120471,0,0,0,217,0.823407341,122,204132.8333,Bot
36971155,0,0,0,0,1,0,0,0.910224067,11492,11492,0,0,0,344,0.822434737,29,13059.4303,Bot
33298198,1,1,0,0,0,24,0,0.246477106,15270,15270,0,0,0,359,0.821188574,1,13059.4303,Bot
77938843,0,0,0,0,0,0,0,0.0,773320,43,0,32,773244,51,0.803762293,1,13059.4303,Bot
31197662,0,0,0,0,1,0,0,0.0,7917,7917,0,0,0,231,0.792467494,93,0.181818182,Bot
4502793,0,0,0,0,0,93,0,0.143506082,339269,293549,27755,16295,1670,361,0.773662671,261,48814.66667,Bot
48569085,1,0,0,0,1,0,0,0.547840425,116378,53072,20973,21078,21255,310,0.772106423,126,13059.4303,Bot
27856297,0,0,0,0,1,0,0,0.383271902,7569808,1223896,2847280,2975069,523563,299,0.771488058,5317,78483.95833,Bot
39514782,0,0,0,0,1,0,0,0.806103731,1003925,1003925,0,0,0,361,0.763382751,1372,13059.4303,Bot
30536864,1,0,0,0,0,0,0,0.0,219404,36350,73098,73129,36827,361,0.754713326,231,13059.4303,Bot
30538765,1,0,0,0,0,2,0,0.0,219775,36372,73222,73181,37000,361,0.751738782,240,13059.4303,Bot
30537854,1,0,0,0,0,1,0,0.0,219152,36285,73030,73016,36821,361,0.748312565,209,13059.4303,Bot
42427874,0,0,0,0,0,0,0,0.828603351,8975,8975,0,0,0,359,0.744872816,5,13059.4303,Bot
47257959,0,0,0,0,0,1,0,0.503102612,53559,36909,1,43,16606,238,0.739277673,1,13059.4303,Bot
47766566,0,1,0,1,0,1,1,0.0,10831,176,111,332,9915,359,0.736605518,5,19.53846154,Bot
37936606,0,0,0,0,1,0,0,0.113047419,3217563,2521058,601072,28061,67211,361,0.736283999,1905,13059.4303,Bot
75433959,1,0,0,0,1,0,0,0.316329849,640736,634933,3726,66,2011,361,0.728472341,687,80677.4,Bot
78034891,1,0,0,0,0,32,1,0.586334956,14383,14383,0,0,0,237,0.726292486,214,52735.25,Bot
22429695,0,0,0,0,1,0,0,0.743158599,844553,844553,0,0,0,361,0.725899183,4104,13059.4303,Bot
79414145,1,0,0,0,1,0,0,0.342430826,96140,96140,0,0,0,104,0.72423216,2,0.25,Bot
94155176,0,0,0,0,0,1,0,0.0,54945,54942,0,2,1,29,0.720473901,2,1140.5,Bot
20407524,1,0,0,0,0,523,0,0.345294397,312670,250119,32702,93,29756,361,0.717443925,1139,76692.875,Bot
30164659,0,0,0,0,0,2,0,0.755843209,21448,1860,3596,1417,14549,353,0.717183695,20,227559.75,Bot
49695357,0,0,0,0,0,0,0,0.086357818,289539,98686,77578,70475,42800,150,0.713909678,250,1.36,Bot
64729760,0,0,0,0,0,12,9,0.602974816,111241,88795,1,47,22396,340,0.70983271,86,13059.4303,Bot
44651202,0,0,1,1,0,13,0,0.405857343,32621,22320,4364,378,5559,342,0.70861398,102,7015.5,Bot
61254497,0,0,0,0,0,2,0,0.497862097,16590,1032,0,7675,7866,337,0.704255971,15,110156.38,Bot
30189218,0,0,0,0,0,65,0,0.0,110139,2716,43581,2394,61448,360,0.698925659,641,13931.40816,Bot
42973632,0,0,0,0,0,16,0,0.039033557,102561,68209,11108,5717,17527,360,0.694774312,308,96775.35294,Bot
36466523,0,0,0,0,1,0,0,0.800104454,27835,27835,0,0,0,361,0.693879181,220,13059.4303,Bot
43144390,0,0,0,0,1,0,0,0.507588823,57021,57021,0,0,0,361,0.69156149,712,56724.0,Bot
53056553,0,0,1,0,0,6,1,0.671364071,3796,483,295,11,2970,361,0.69118929,9,98767.4375,Bot
21015829,0,0,0,0,1,0,0,0.437412746,10105,10105,0,0,0,339,0.690705967,90,98808.0,Bot
15467072,1,0,0,0,0,333,0,0.513164267,53512,4610,482,3202,45218,360,0.689330641,82,48540.66667,Bot
6948709,0,0,0,0,0,12,0,0.0,108109,304,9842,52143,5414,357,0.686022474,58,4638.0,Bot
79381923,1,0,0,0,1,0,0,0.471835347,111655,111655,0,0,0,139,0.683875925,2,13059.4303,Bot
15837671,0,0,0,0,0,34,0,0.126478132,107286,46748,1588,30361,28331,360,0.683191942,490,289347.0,Bot
62694369,1,0,0,0,0,48,0,0.943455736,29698,4906,10110,10564,4118,357,0.681361687,60,135460.8571,Bot
51384143,1,0,0,1,0,0,1,0.372060577,14928,223,62,2,14641,354,0.680446785,5,0.0,Bot
