actor_id,type,body
62695641,PullRequestReviewCommentEvent,Unused import - java.util.concurrent.ConcurrentHashMap.
62695641,PullRequestReviewCommentEvent,无用导入 - java.util.concurrent.ConcurrentHashMap 。
9011267,PullRequestReviewCommentEvent,"Until CLI has packages and we can move back to their feeds, yes.

We could also consider just uploading these packages to the dotnetcli blob storage, with names that sort of match the old scheme (replacing -ubuntu with -ubuntu.14.04-x64 ideally to disambiguate between ubuntu versions), if that's preferable (I would need to chat quickly with @piotrpMSFT before doing so, but it might be helpful for them to have them for bootstrapping anyway)."
9011267,PullRequestReviewCommentEvent,The glob should just pick up things in the root.
13025337,PullRequestReviewCommentEvent,"We are not deploying any RabbitMQ instance, just the operator. It doesn't make any sense to deploy a RabbitMQ instance in this case, as there are innumerable configurations. "
13025337,PullRequestReviewCommentEvent,"Note that this is for the CRD, we needed to include it so the pull secrets are set by default when deploying RabbitMQ instances."
13025337,PullRequestReviewCommentEvent,"That's not something I recall doing in the case of operators. I'd rather follow the upstream approach (note that the RabbitMQ team may also support this so we don't want to allow unexpected behaviors in the container, taking into account the security issues that could apply)"
13025337,PullRequestReviewCommentEvent,"That's what we want to do, this is for the Operator "
26523804,PullRequestReviewCommentEvent,"As discussed, let's stick to `configure_opts` (to align with `configure` step)"
26523804,PullRequestReviewCommentEvent,"Just to clarify: this can be removed because by using the pyBigWig source tarball from PyPI rather than GitHub, the necessary metadata is there so `pip` is aware of the `pyBigWig` installation (`pip check` doesn't complain, `pip list` shows it)"
26523804,PullRequestReviewCommentEvent,please use `intel-compilers` version `2023.1.0` as toolchain (so `Zeo++` is compatible with `intel/2023a`)
1589480,PullRequestReviewCommentEvent,"This is -3. Sorry, we won't accept this. Please consider [creating your own tap](https://github.com/Homebrew/brew/blob/master/share/doc/homebrew/How-to-Create-and-Maintain-a-Tap.md#how-to-create-and-maintain-a-tap) instead. Thanks!"
15990849,PullRequestReviewCommentEvent,update.
15990849,PullRequestReviewCommentEvent,updated.
15990849,PullRequestReviewCommentEvent,"So, i should let what it was be, no update here?"
15990849,PullRequestReviewCommentEvent,I have updated to value '<remarks>To be added.</remarks>'
15990849,PullRequestReviewCommentEvent,"yes, it i think formatEle.Value will escape CDATA automatically"
15990849,PullRequestReviewCommentEvent,formatEle.Value will get value “Describes the common properties that all features have.”
15990849,PullRequestReviewCommentEvent,will delete it
43581769,PullRequestReviewCommentEvent,"deleteSchedulingV1CollectionPriorityClass isn't currently showing as hit/tested at this time for some reason:

https://apisnoop.cncf.io/conformance-progress/endpoints/1.20.0?filter=untested

![image](https://user-images.githubusercontent.com/43581769/97385960-b5449b00-1937-11eb-9cf1-c7484ca5900f.png)
"
43581769,PullRequestReviewCommentEvent,Cannot parse file: error converting YAML to JSON: yaml: line 30: did not find expected key.
26720499,PullRequestReviewCommentEvent,This would've been handy when we were writing our server implementation last year. :grinning: 
26720499,PullRequestReviewCommentEvent,"Based on my understanding of the Windows command interpreter, I think this should work both there and in POSIX shells. It might _not_ work on PowerShell on Windows, because that adds an extra level of escaping that is often hard to deal with, but that's not a new problem nor something we can easily address in the documentation here.

With that said, the lead-in text here suggests that all of these forms are things the user might expect to see in the output of other commands, and so the escaping here is making that no longer strictly true. Perhaps we should hint that with some parenthetical text:

> * `aws_instance.baz[\""key\""]` (quotes in resource addresses must be escaped on the command line so that they are not interpreted by your shell)
"
38341030,PullRequestReviewCommentEvent,"How about:
 - `Domain name updates (including IP address change) are reflected within 30 minutes.` OR 
 - `Domain names and IP address changes are reflected within 30 minutes.`
"
28113323,PullRequestReviewCommentEvent,"Ahh, I see. If feature branches are not needed for the enterprise version, then all should be good now (hopefully). Reason it didn't sync with `inventory-enterprise` is because the bot did not have a fork of the repository in which to create a PR from ;)"
49303554,PullRequestReviewCommentEvent,"whitespace:end of line
"
49303554,PullRequestReviewCommentEvent,"whitespace:tabs in line
"
49303554,PullRequestReviewCommentEvent,"shellcheck:25: warning: Did you forget to close this double quoted string? [SC1078]
"
10605095,PullRequestReviewCommentEvent,I was looking at secrets not tokens. That was easier than I expected.
32282838,PullRequestReviewCommentEvent,"To be honest not too sure why you would need  more than that(in a recent go version 1.8+):

```
go get github.com/jetstack/vault-unsealer
make -C $(go env GOPATH)/src/github.com/jetstack/vault-unsealer build
```
"
32282838,PullRequestReviewCommentEvent,This should be a `puppetManifestRef`
32282838,PullRequestReviewCommentEvent,"I think similar to how jobs clear a pod associated with them we should only keep like the last 15 `WingJobs`. (Ideally that is configurable by a variable in the Instance type)
"
32282838,PullRequestReviewCommentEvent,I think it should be called  more generic `WingJob`
32282838,PullRequestReviewCommentEvent,This needs to be as long as the headline
32282838,PullRequestReviewCommentEvent,Can we run that as User=Nobody
32282838,PullRequestReviewCommentEvent,remove me
32282838,PullRequestReviewCommentEvent,update that or remove it
32282838,PullRequestReviewCommentEvent,update that using the generator
32282838,PullRequestReviewCommentEvent,also generate one or aws_es_proxy
32282838,PullRequestReviewCommentEvent,"Golint comments: package comment should be of the form ""Package hooks ..."". [More info](https://golang.org/wiki/CodeReviewComments#package-comments). <!-- golint -->"
32282838,PullRequestReviewCommentEvent,Golint comments: exported type ShutdownHook should have comment or be unexported. [More info](https://golang.org/wiki/CodeReviewComments#doc-comments). <!-- golint -->
32282838,PullRequestReviewCommentEvent,Golint imports: should not use dot imports. [More info](https://golang.org/wiki/CodeReviewComments#import-dot). <!-- golint -->
32282838,PullRequestReviewCommentEvent,"Golint imports: a blank import should be only in a main or test package, or have a comment justifying it. <!-- golint -->"
32282838,PullRequestReviewCommentEvent,Golint naming: don't use underscores in Go names; func SetDefaults_ACMEIssuer should be SetDefaultsACMEIssuer. [More info](http://golang.org/doc/effective_go.html#mixed-caps). <!-- golint -->
32282838,PullRequestReviewCommentEvent,Golint errors: error strings should not be capitalized or end with punctuation or a newline. [More info](https://golang.org/wiki/CodeReviewComments#error-strings). <!-- golint -->
11063859,PullRequestReviewCommentEvent,"There's a non-zero chance that you don't know what you're doing.

This serves to block accidental merges until Undo over there has a chance to test this more."
26360365,PullRequestReviewCommentEvent,"**checkpatch WARNING (NEW_TYPEDEFS):**

 do not add new typedefs"
26360365,PullRequestReviewCommentEvent,"**checkpatch WARNING (PREFER_KERNEL_TYPES):**

 Prefer kernel type 'u64_t' over 'uint64_t'"
26360365,PullRequestReviewCommentEvent,"**CHECKPATCH ERROR:**

 that open brace { should be on the previous line"
26360365,PullRequestReviewCommentEvent,"**CHECKPATCH ERROR:**

 space required before the open parenthesis '('"
26360365,PullRequestReviewCommentEvent,"**CHECKPATCH WARNING:**

 'acessable' may be misspelled - perhaps 'accessible'?"
26360365,PullRequestReviewCommentEvent,"**CHECKPATCH ERROR:**

 trailing whitespace"
26360365,PullRequestReviewCommentEvent,"**CHECKPATCH ERROR:**

 do not use C99 // comments"
26360365,PullRequestReviewCommentEvent,"**checkpatch ERROR (TRAILING_WHITESPACE):**

 trailing whitespace"
26360365,PullRequestReviewCommentEvent,"**checkpatch ERROR (SPACING):**

 space prohibited before that close parenthesis ')'"
2222479,PullRequestReviewCommentEvent,License is now  EPL-2.0
2222479,PullRequestReviewCommentEvent,Goodwork has a homepage at https://usegood.work/
2222479,PullRequestReviewCommentEvent,Description should be 250 characters or less.
2222479,PullRequestReviewCommentEvent,Change demo link to https://lbry.tv
2222479,PullRequestReviewCommentEvent,"Please add this to Misc/Other

""Any category you are creating has the minimum requirement of 3 items. If not, your addition may be inserted into Misc/Other."""
2222479,PullRequestReviewCommentEvent,Wouldn't this be a better fit in the Password Managers category?
2222479,PullRequestReviewCommentEvent,"Language should be Nodejs

Additionally you could add https://gitlab.com/timvisee/send/-/tree/master/android as a client."
2222479,PullRequestReviewCommentEvent,Change Web Client to Clients
2222479,PullRequestReviewCommentEvent,The files that were generated in CI are now in ` .github/workflows/docker`.  The `Containerfile` is now  `Dockerfile.ci`. I also updated the main `Dockerfile` to more closely match `Dockerfile.ci`. The workflow is using pregenerated `etc/passwd` and `etc/group` files to prevent the use of qemu when running buildx.
2222479,PullRequestReviewCommentEvent,I'm not to familiar with Wazo but from looking at the repos I think python will be a better fit.  There is currently only one repo that github lists as being PHP and its archived.  There are other languages in use as well but it looks like it is primarily python
2222479,PullRequestReviewCommentEvent,ZPL-1.2 needs to be added to the list of licenses.
2222479,PullRequestReviewCommentEvent,"Thank you for your contribution.
Please remove the source code link from the end and add the demo https://shaarli.mka.ovh"
2222479,PullRequestReviewCommentEvent,"Thank you for contributing.
Please elaborate more on the description.  The description must all end with full stop.
Please add EUPL-1.2 to the list of licenses."
2222479,PullRequestReviewCommentEvent,Please add a full stop `.` at the end of the description
2222479,PullRequestReviewCommentEvent,https://github.com/Mission-Kontrol/MissionKontrol-rails lists license as GPL-3.0
2222479,PullRequestReviewCommentEvent,Remove `([Source Code](https://github.com/dutchcoders/transfer.sh))` as it is a duplicate link.
2222479,PullRequestReviewCommentEvent,"Remove `(` just before `[Source Code]`

```
[FileGator](https://filegator.io/) - FileGator is a powerful multi-user file manager with a single page front-end. ([Demo](https://demo.filegator.io), [Source Code](https://github.com/filegator/filegator)) `MIT` `PHP`
```"
2222479,PullRequestReviewCommentEvent,"Had this as the default for testing, so I wouldn't hit the rate limit on multiple runs."
2222479,PullRequestReviewCommentEvent,I'm not seeing any reference to the MIT license in the repository.
2222479,PullRequestReviewCommentEvent,License should be `SSPL-1.0`
2222479,PullRequestReviewCommentEvent,Should be SSPL-1.0
2222479,PullRequestReviewCommentEvent,"Connection times out for me.

How about: https://spdx.org/licenses/CECILL-B.html"
2222479,PullRequestReviewCommentEvent,add https://www.getoutline.com/ as site page and move https://github.com/outline/outline to demo
2222479,PullRequestReviewCommentEvent,"Missing full-stop at the end of the descritption.
Add ⚠ as it appears to require goodreads and librarything
"
2222479,PullRequestReviewCommentEvent,"My apologies, I typed that wrong.  https://github.com/outline/outline would work as site or demo.
But I think 
Site: https://www.getoutline.com/    Source: https://github.com/outline/outline
would be better"
2222479,PullRequestReviewCommentEvent,"- Remove http://www.ahem.email from the description.  This is the same as site link.
- Remove the demo link it is also the same as the site link.
- Remove \`Mongodb` we are not listing databases.
- License should be LGPL-3.0"
2222479,PullRequestReviewCommentEvent,"- Remove extra space between rejected. and \`Nodejs\`
- Change \`Nodejs\` \`Django\` to \`Nodejs/Django\`"
2222479,PullRequestReviewCommentEvent,"- Capitalize Self-hosted
- add full stop(.) after imap
- Demo site should be https://bhadoomail.com/
- Remove Source code it is the same as the site url"
2222479,PullRequestReviewCommentEvent,"- Capitalize Forsaken-Mail (as formatted on github repo)
- Capitalize A self-hosted
- add full stop(.) after service
- Demo site is currently down??
- change \`Docker\` \`NodeJS\` to \`Docker/Nodejs\`
"
2222479,PullRequestReviewCommentEvent,"- ⚠ should be between - and Open-Source
- Capitalize Open-source
- Remove Demo same as site link
- Remove \`Redis\`
 "
2222479,PullRequestReviewCommentEvent,"- Missing license Artistic-2.0
- Remove Demo
- Remove Includes a captcha
"
2222479,PullRequestReviewCommentEvent,There Should only be 1 blank line between sections.
2222479,PullRequestReviewCommentEvent,License should be \`GPL-3.0\` language should probable be \`Shell/Ansible\`
2222479,PullRequestReviewCommentEvent,Please elaborate the description and include a full stop ```.``` at the end of the description.
2222479,PullRequestReviewCommentEvent,https://del.dog/ appears to be down.
2222479,PullRequestReviewCommentEvent,Could you elaborate a little more on the functuions of this application in the description.
2222479,PullRequestReviewCommentEvent,"@nodiscc might have a better recommendations for this but for multiple licenses separate with / for example:
`AGPL-3.0/LGPL-3.0/MIT`

Additionally \`python\` should be \`Python\`"
2222479,PullRequestReviewCommentEvent,"Please put this under Self-hosting Solutions

Please include the source code link, license and language."
2222479,PullRequestReviewCommentEvent,"My apologies, I glanced at the GitHub repo earlier and it made me think it was a self hosting solution. This belongs as an external link."
2222479,PullRequestReviewCommentEvent,"Correct me if I am wrong but, it looks like this requires google search to function. If so please add  \`⚠\` between the title and descritption."
2222479,PullRequestReviewCommentEvent,Missing closing _
2222479,PullRequestReviewCommentEvent,"@nodiscc what are your thoughts on this:
The COPYING file is BSD-3-Clause and the LICENSE file is GPL-3 "
2222479,PullRequestReviewCommentEvent,Remove the extra space between the source code link and \`MIT`
2222479,PullRequestReviewCommentEvent,fixed
2222479,PullRequestReviewCommentEvent,source_code_url should be required and website_url should be optional.
2222479,PullRequestReviewCommentEvent,Modifying the import script should be the easier option and shouldnt be too hard to implement.
2222479,PullRequestReviewCommentEvent,Commented line removed.
2222479,PullRequestReviewCommentEvent,"There should be only 1 space between the source code and the license and only 1 between the license and the language.

Is this a fork of DAVical? If not remove one space before the *. "
2222479,PullRequestReviewCommentEvent,There is still an extra space between \`ISC\` and \`C\`
2222479,PullRequestReviewCommentEvent,Missing language
2222479,PullRequestReviewCommentEvent,"Please follow the guidelines in [Contributing](https://github.com/Kickball/awesome-selfhosted/blob/master/.github/CONTRIBUTING.md) for example:
> \[Calagator\]\(http://calagator.org/)
"
2222479,PullRequestReviewCommentEvent,"Could you change the homepage to http://phpaste.sourceforge.net/  

> \* \[Paste\](http://phpaste.sourceforge.net/) - Paste is forked from the original source pastebin.com used before it was bought. \(\[Demo\]\(http://phpaste.sourceforge.net/demo), \[Source Code\]\(https://bitbucket.org/j-samuel/paste/)) \`GPLv3\` \`PHP\`"
2222479,PullRequestReviewCommentEvent,Please change \[Source\] to \[Source Code\]
2222479,PullRequestReviewCommentEvent,Please add the license and language to the entry.
2222479,PullRequestReviewCommentEvent,"Remove `, [Source Code](https://github.com/josephernest/void)` its not needed since it the same as the main link."
2222479,PullRequestReviewCommentEvent,"Open-source is misspelled.

Please add source code link: https://github.com/ivaldi/brimir"
2222479,PullRequestReviewCommentEvent,Please shorten the description to 250 or fewer characters.
2222479,PullRequestReviewCommentEvent,Update demo to https://open-event-api.herokuapp.com/
2222479,PullRequestReviewCommentEvent,Update source code to https://github.com/inspircd/inspircd
2222479,PullRequestReviewCommentEvent,Remove one of the uMap entries.
2222479,PullRequestReviewCommentEvent,Change Docker/Python to just Python as this can be run without docker.
2222479,PullRequestReviewCommentEvent,Please change `` `Nodejs/Javascript` to `Nodejs` ``
2222479,PullRequestReviewCommentEvent,Citadel appears to still be maintained http://easyinstall.citadel.org/manifest.html
2222479,PullRequestReviewCommentEvent,Here is a mirror of Sorcia https://github.com/mysticmode/sorcia last commit was a little over a month ago.  Not sure if we want to hold off on removing this.
2222479,PullRequestReviewCommentEvent,"Unless I'm missing something, that shouldn't be needed as this portion of the build is on x86_64, but would possible slow the build process.  

I probable should have made it clearer earlier that this setup will not build on arm/arm64 but will allow docker hub to automate the creation of docker images that will run on arm/arm64.

If we want to retain the ability to build on arm, I could push theses Dockerfiles as Dockerfile.arm-x86_64 and Dockerfile.arm64-x86_64 or similar for docker hub builds."
2222479,PullRequestReviewCommentEvent,thanks @enricostano 
2222479,PullRequestReviewCommentEvent,Change Python/Django/Angularjs to Python
2222479,PullRequestReviewCommentEvent,"My apologies for missing this earlier, but your missing a `.` at the end of the description. 
Could you update the description to read something along the lines of ""Music server with powerful playlist features and subsonic compatibility."
2222479,PullRequestReviewCommentEvent,"Remove #readme from the end of the main link.
Remove the Source code link as it is a duplicate of the main link."
2222479,PullRequestReviewCommentEvent,Remove the period after `Python`
2222479,PullRequestReviewCommentEvent,Add a period after the description.
2222479,PullRequestReviewCommentEvent,In the description please change distribution to player or server.
2222479,PullRequestReviewCommentEvent,Remove the - after the description and a full stop.
2222479,PullRequestReviewCommentEvent,"([Demo](http://p.thorsen.pm/) )[Source Code](https://github.com/jhthorsen/app-mojopaste)

Should be:
([Demo](http://p.thorsen.pm/), [Source Code](https://github.com/jhthorsen/app-mojopaste))"
44874361,PullRequestReviewCommentEvent,Coding style error
43188587,PullRequestReviewCommentEvent,no-unused-vars: 'showsHorizontalScrollIndic' is assigned a value but never used.
43188587,PullRequestReviewCommentEvent,prettier/prettier: Delete `··`
43188587,PullRequestReviewCommentEvent,"dot-notation: [""_internalInstanceHandle""] is better written in dot notation."
43188587,PullRequestReviewCommentEvent,eslint-comments/no-unused-disable: 'dot-notation' rule is disabled but never reported.
43188587,PullRequestReviewCommentEvent,"`google-java-format` suggested changes:
```diff
@@ -31,0 +30,2 @@
+import com.facebook.react.module.annotations.ReactModule;
+import com.facebook.react.modules.core.DeviceEventManagerModule;
```
"
43188587,PullRequestReviewCommentEvent,"`google-java-format` suggested changes:
```diff
@@ -146 +146,2 @@
-  private WritableArray convertBitsToStringArray(int bits, Function<Integer, String> convertToString) {
+  private WritableArray convertBitsToStringArray(
+      int bits, Function<Integer, String> convertToString) {
```
"
43188587,PullRequestReviewCommentEvent,"`google-java-format` suggested changes:
```diff
@@ -171,4 +173,14 @@
-      map.putArray(""capabilities"", convertBitsToStringArray(capabilities, (bit) -> accessibilityServiceInfo.capabilityToString(bit)));
-      map.putArray(""eventTypes"", convertBitsToStringArray(eventTypes, (bit) -> AccessibilityEvent.eventTypeToString(bit)));
-      map.putArray(""feedbackType"", convertBitsToStringArray(feedbackType, (bit) -> accessibilityServiceInfo.feedbackTypeToString(bit)));
-      map.putArray(""flags"", convertBitsToStringArray(flags, (bit) -> accessibilityServiceInfo.flagToString(bit)));
+      map.putArray(
+          ""capabilities"",
+          convertBitsToStringArray(
+              capabilities, (bit) -> accessibilityServiceInfo.capabilityToString(bit)));
+      map.putArray(
+          ""eventTypes"",
+          convertBitsToStringArray(eventTypes, (bit) -> AccessibilityEvent.eventTypeToString(bit)));
+      map.putArray(
+          ""feedbackType"",
+          convertBitsToStringArray(
+              feedbackType, (bit) -> accessibilityServiceInfo.feedbackTypeToString(bit)));
+      map.putArray(
+          ""flags"",
+          convertBitsToStringArray(flags, (bit) -> accessibilityServiceInfo.flagToString(bit)));
```
"
43188587,PullRequestReviewCommentEvent,"`google-java-format` suggested changes:
```diff
@@ -256,2 +268,4 @@
-  public void getEnabledAccessibilityServiceList(double feedbackTypeFlags, Callback successCallback) {
-    mEnabledAccessibilityServiceList = mAccessibilityManager.getEnabledAccessibilityServiceList((int) feedbackTypeFlags);
+  public void getEnabledAccessibilityServiceList(
+      double feedbackTypeFlags, Callback successCallback) {
+    mEnabledAccessibilityServiceList =
+        mAccessibilityManager.getEnabledAccessibilityServiceList((int) feedbackTypeFlags);

```
"
