,metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
12,Total Number of Lines Changed,CI_CD_Bots,0.3676400628794429,0.0002834624031956,-0.0057057183578901,0.0018554461505447,0.4028727757026771,0.4335371504577948,0.1025841088888247,6104.0
33,Total Number of Lines Changed,Code_Review_Bots,0.3633839840665369,4.733048650244721e-05,-0.002033676828988,0.0020475652043151,0.404006256557847,0.4304522059038633,0.1042530880933563,6478.0
54,Total Number of Lines Changed,Code_Security_Review_Bots,0.3808594221084797,6.099709263386599e-06,-0.0002617778526118,0.001813890874377,0.4449312739198848,0.467516650660872,0.0929638705196946,487.0
75,Total Number of Lines Changed,Collaboration_and_Communication_Bots,0.3626958033724968,0.002632050342675,-0.0050083303470768,0.0025312743982413,0.3572543073538526,0.4133827020674783,0.1138085797359541,343.0
96,Total Number of Lines Changed,Configuration_Management_Bots,0.3358458884568663,0.0007341012143446,-0.006215681410194,0.0030403697543364,0.4194246877102097,0.4545702821662539,0.106691777399114,140.0
117,Total Number of Lines Changed,Documentation_Generation_Bots,0.3307019708286466,-0.0003241214938482,0.0036834657438475,0.0033279015902198,0.4713719049974498,0.4960020281190213,0.0974520721950733,265.0
138,Total Number of Lines Changed,merged_distinct_actor_ids,0.3677762666708993,0.0001533543676791,-0.003409432170708,0.0018889423350755,0.409473361147514,0.434516731035464,0.1023903319169278,8560.0
159,Total Number of Lines Changed,Open_Source_Compliance_Inspection_Bots,0.3920005038748239,7.889365520900946e-05,-0.0085512420005578,0.0011854358124417,0.4554662819573908,0.4551831584618787,0.0904354607148782,626.0
180,Total Number of Lines Changed,Periodic_Report_Bots,0.3377541507416344,0.0002863809726544,-0.003917395947906,0.0030403697543364,0.4237825691020453,0.4549068754393862,0.1000968684054129,149.0
201,Total Number of Lines Changed,Workflow_Control_Bots,0.3688607520065989,0.0001561796146295,-0.0021251625298557,0.0018121180613966,0.416812448990842,0.4313163227884169,0.09785179924164,1758.0
