,metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
3,Number of New Contributors,CI_CD_Bots,0.3829252344877345,-0.0018669113691738,0.0036257106392854,0.0040833237694515,0.3594154933469139,0.4460347347952563,0.1299103108200924,1728.0
5,Number of Key Contributors the Project Relies On,CI_CD_Bots,0.3737859362859362,-0.0012350988286817,0.0039858079630807,0.0038615268341689,0.2671623493269222,0.3932447061340947,0.1949165220778682,10452.0
6,Number of Long-Inactive Contributors,CI_CD_Bots,0.5042241789623987,0.0418235610543302,0.0233734519448806,2.691226333412567e-13,1.3737065455699103e-09,0.1580565033757087,0.95823998172505,9429.0
24,Number of New Contributors,Code_Review_Bots,0.3850108225108225,-0.001048951048951,0.0016650016650016,0.0040471762032516,0.367895627359171,0.4253830157330007,0.1309907530363927,1785.0
26,Number of Key Contributors the Project Relies On,Code_Review_Bots,0.3727285105961576,-0.0006440927493559,0.0045583422987269,0.0039169368835732,0.269867219192928,0.3931162302936757,0.1945426572730083,11002.0
27,Number of Long-Inactive Contributors,Code_Review_Bots,0.5028564331843022,0.0419107919107918,0.0232249829024019,2.295602054990255e-13,9.704973286945163e-10,0.1568670755319341,0.9594768117351486,9711.0
45,Number of New Contributors,Code_Security_Review_Bots,0.4145021645021646,0.0012237762237761,-0.0082644628099173,0.0023088729581199,0.3848545973690657,0.4095898717861849,0.1260788045044378,115.0
47,Number of Key Contributors the Project Relies On,Code_Security_Review_Bots,0.3717130335365854,-0.0005492502150256,0.0074817846116021,0.0043980838204683,0.2830127060607729,0.3890727077394941,0.199106830156129,730.0
48,Number of Long-Inactive Contributors,Code_Security_Review_Bots,0.49948347107438,0.0422836966954613,0.0283684894340632,3.68514651064365e-14,1.4726583574691194e-10,0.1568670755319341,0.9677404483094976,611.0
66,Number of New Contributors,Collaboration_and_Communication_Bots,0.413050964187328,-0.0007284382284382,-0.0044677544677545,0.0023802683362268,0.3603833631475006,0.389992212064091,0.1446628084559117,113.0
