,metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
16,Number of Newly Raised Issues,CI_CD_Bots,0.3757575757575759,-0.00429350061703,0.0022967228849585,0.0025564259656064,0.2545712409369619,0.3562112640900682,0.2290101539327546,8163.0
17,Number of Comments on Issues,CI_CD_Bots,0.3251000942063119,-0.0025075934166843,0.0196391417619041,0.0072831635066111,0.2400314594225785,0.3165076488271843,0.2294349619049869,9749.0
18,Number of Closed Issues,CI_CD_Bots,0.3062354312354312,-0.0020305781175346,0.0073194877411744,0.0113033815096042,0.3038260054481535,0.3654322885995621,0.1683500535326322,6173.0
20,Average Time to Resolve Issues,CI_CD_Bots,0.3371699012260467,-0.0095975924065455,0.0008691632071554,0.0074842416005038,0.2617891268695604,0.4065494098647065,0.211525669615859,7448.0
37,Number of Newly Raised Issues,Code_Review_Bots,0.3757575757575759,-0.0036130536130536,0.0060422034106244,0.0025322963428204,0.2531852349374257,0.3506420929402182,0.2290192476830703,8675.0
38,Number of Comments on Issues,Code_Review_Bots,0.3236948694869488,-0.0021610334110334,0.0242911317538181,0.0075735068702264,0.2358187629553941,0.3177344074083105,0.2319403617774018,10295.0
39,Number of Closed Issues,Code_Review_Bots,0.3005003654354303,-0.0019547413758062,0.0151849971522102,0.0128713212772185,0.3084899214890603,0.3619153628657558,0.1688581951973112,6600.0
41,Average Time to Resolve Issues,Code_Review_Bots,0.3320289660577836,-0.0097946309094566,0.0061846617417195,0.0080681097671804,0.2596294026005752,0.4092552814415509,0.2116448241306999,7985.0
58,Number of Newly Raised Issues,Code_Security_Review_Bots,0.3870475589225591,-0.0027680652680653,-0.0106219538037721,0.0021140155608869,0.2229833669026662,0.3437172830953798,0.2329902122579671,609.0
59,Number of Comments on Issues,Code_Security_Review_Bots,0.3218109999600244,-0.001942532404867,0.0535294845006936,0.0077458406481375,0.2131385299467198,0.263444315283069,0.2638011463206412,698.0
