,metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
8,Average Duration of Open Pull Requests,CI_CD_Bots,0.4314372362398292,0.0181444114148133,0.0090550193538886,0.000121087768455,0.0453968091055491,0.190377900729702,0.4983383527864189,6967.0
9,Number of Reviews for Pull Requests,CI_CD_Bots,0.3508559845515389,0.0014276757888688,-0.0114179810827357,0.005044744450821,0.2489977515441638,0.322102398760445,0.2140345686028598,3148.0
10,Average Time to Resolve Pull Requests,CI_CD_Bots,0.2494867806049242,-0.0005430243769557,-0.0035200015038724,0.040216065775653,0.3478014467907748,0.4244129151772986,0.1483003456999397,6595.0
11,Total Number of Pull Requests,CI_CD_Bots,0.3540609416383411,0.0015297202797202,0.0293716577540107,0.0041439693979478,0.2558582259304885,0.3198396622711684,0.2361923585097239,6576.0
29,Average Duration of Open Pull Requests,Code_Review_Bots,0.4377589080808114,0.0181640014138674,0.0004623025448587,0.0001029966295984,0.0451122528153884,0.1790774665542547,0.5040739796153415,7244.0
30,Number of Reviews for Pull Requests,Code_Review_Bots,0.3486764193660746,0.0021537397963253,-0.0088883305911556,0.005158015486821,0.2418405062638768,0.3286824268111565,0.2176756935869913,3348.0
31,Average Time to Resolve Pull Requests,Code_Review_Bots,0.2477701134244812,-0.0007886168892646,-0.0020764655142942,0.041683951574216,0.3479330523748013,0.4335770838169658,0.1479210713110791,6920.0
32,Total Number of Pull Requests,Code_Review_Bots,0.354226475279107,0.0020648129813553,0.0290248290248288,0.0043344556465382,0.2558207054229207,0.3216914727491593,0.2347902621267196,6898.0
50,Average Duration of Open Pull Requests,Code_Security_Review_Bots,0.4290520695794009,0.018085229352674,0.0072944657075876,0.0001261220045148,0.0492720834534096,0.2101607884408837,0.5200002420506221,506.0
51,Number of Reviews for Pull Requests,Code_Security_Review_Bots,0.3355424256023886,0.0020322470046233,-0.0003744722872214,0.0078855418739063,0.2936468800499635,0.3721698386535914,0.2005105278928093,268.0
52,Average Time to Resolve Pull Requests,Code_Security_Review_Bots,0.2482096749687347,-0.0010620769608509,0.0035570228379423,0.0403914350469145,0.3489900701656703,0.4188153898819403,0.1367659696392097,530.0
53,Total Number of Pull Requests,Code_Security_Review_Bots,0.3796897546897548,0.004479895104895,0.0134389420103704,0.0027660765092049,0.2432215268163019,0.3187775304707973,0.2258716397873331,513.0
71,Average Duration of Open Pull Requests,Collaboration_and_Communication_Bots,0.4216991341991342,0.0211201638099481,0.0328625509149681,0.0001232062189153,0.0396547971737415,0.2192884742908848,0.5198677581265976,341.0
72,Number of Reviews for Pull Requests,Collaboration_and_Communication_Bots,0.3521269177311951,0.0029753147550102,-0.0001286391366,0.0025168960993476,0.1955804103054912,0.3416609041832501,0.2615203922838952,182.0
73,Average Time to Resolve Pull Requests,Collaboration_and_Communication_Bots,0.2345099567099567,-0.0001664121177606,0.0231818215493457,0.0466994548067953,0.3375125669220663,0.4347992626494301,0.1576773041805513,361.0
74,Total Number of Pull Requests,Collaboration_and_Communication_Bots,0.4019627156602523,0.0094367753458661,-0.051157110657504,0.0011566567570738,0.2211041824985803,0.3467602136722763,0.2620958538901196,350.0
92,Average Duration of Open Pull Requests,Configuration_Management_Bots,0.4068293015735482,0.0202050664467873,0.0350441195932664,0.0001531263071161,0.0513992848512158,0.2598211455129273,0.5513600123227613,140.0
93,Number of Reviews for Pull Requests,Configuration_Management_Bots,0.3327643386656263,-0.0010474107390407,0.007055619941856,0.0067841949772633,0.2834713410386206,0.5122308209028424,0.200356764444136,73.0
