,metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
0,Number of Project Forks,CI_CD_Bots,0.4032828282828283,-0.0046620046620047,-0.0104141196798537,0.0012917376000929,0.2537308120731729,0.3898484827879838,0.2276302951874942,10806.0
1,Overall Activity Events of the Project,CI_CD_Bots,0.3948330651649238,-0.0020372381883572,0.028669801233904,0.001366093282289,0.194212942749109,0.310240081202712,0.2711693936368898,10589.0
2,Number of Stars the Project Has Received,CI_CD_Bots,0.3354683195592287,-0.0056055056055056,-0.0060344457329382,0.0035227425269369,0.2138532972396082,0.37058944522557,0.241506517375348,12411.0
21,Number of Project Forks,Code_Review_Bots,0.4047664141414142,-0.0040792540792541,-0.0126742529531217,0.0013003122011686,0.2614822724273249,0.3934808878870547,0.2250174960740938,11234.0
22,Overall Activity Events of the Project,Code_Review_Bots,0.3965981496558961,-0.0012129797286047,0.0286277950517709,0.0013460703316747,0.1954425126658315,0.3145169691777307,0.2717797058403183,11121.0
23,Number of Stars the Project Has Received,Code_Review_Bots,0.3389422719845514,-0.0046814237986255,-0.006727306543483,0.0033757417828937,0.2144100705287036,0.3717894435966354,0.2418180531869112,12862.0
42,Number of Project Forks,Code_Security_Review_Bots,0.4047433797433799,-0.0023289647415522,0.0006549718088178,0.0017817060640942,0.3153390121333316,0.4537136924692706,0.1832453128449552,700.0
43,Overall Activity Events of the Project,Code_Security_Review_Bots,0.4040709742931075,-0.0003285474055992,0.0298350143635017,0.0008040128965527,0.1685499537733795,0.3007525163112207,0.3084486160344659,738.0
44,Number of Stars the Project Has Received,Code_Security_Review_Bots,0.3407258064516131,-0.0031401719299808,-0.0028176291062887,0.0032528901816321,0.2274001970284661,0.3588595732530822,0.2254711267506594,781.0
63,Number of Project Forks,Collaboration_and_Communication_Bots,0.408101851851852,0.0007609248988558,-0.0028512313116502,0.0009965586011519,0.2549979693162973,0.3683218883160091,0.2444191653284514,478.0
64,Overall Activity Events of the Project,Collaboration_and_Communication_Bots,0.4314864042510996,0.0053932710319833,0.0108823453142147,0.0003346828801882,0.1161385226927209,0.3294588434991699,0.3113157367060287,495.0
65,Number of Stars the Project Has Received,Collaboration_and_Communication_Bots,0.3399531587522427,-0.0006048016933577,-0.0125428493075549,0.0027850129840984,0.2277783305006811,0.3412531605794168,0.2503343224565441,526.0
84,Number of Project Forks,Configuration_Management_Bots,0.4233511586452766,-0.0004113533525298,0.0042424242424245,0.0007553972797848,0.4131137186050294,0.4120506983159987,0.1797366726401048,183.0
85,Overall Activity Events of the Project,Configuration_Management_Bots,0.4483397254858951,0.0053932710319833,0.0077921162323763,0.0002594859125946,0.1113507617686567,0.3516152361109358,0.3054369412468148,199.0
86,Number of Stars the Project Has Received,Configuration_Management_Bots,0.3590005986836131,-0.0002333315667852,-0.0219201568633385,0.0019384072144092,0.1940949043830511,0.3641030230680399,0.2426306951264425,202.0
105,Number of Project Forks,Documentation_Generation_Bots,0.4089567550505052,-0.0032955826225057,0.0189477189477188,0.0012961271725957,0.314102881258807,0.4852158106562934,0.1792624290626179,340.0
106,Overall Activity Events of the Project,Documentation_Generation_Bots,0.4167390015670937,-0.0002306446582468,0.0180977839535856,0.0003697842069596,0.0892324885857556,0.3891013271394106,0.3260421692966937,358.0
107,Number of Stars the Project Has Received,Documentation_Generation_Bots,0.367108585858586,-0.0002331002331002,-0.0043123543123542,0.0019584249481803,0.2381073636217028,0.3927047390651836,0.224175242773421,359.0
126,Number of Project Forks,merged_distinct_actor_ids,0.402702397105382,-0.0037112010796221,-0.0085081585081583,0.0013624173407356,0.2593397421810248,0.3953453826487842,0.2243685717311307,14525.0
127,Overall Activity Events of the Project,merged_distinct_actor_ids,0.3969188383566413,-0.0012221514544935,0.0298350143635017,0.0012789108633229,0.189566781756639,0.3103471860043032,0.280540126620049,14433.0
128,Number of Stars the Project Has Received,merged_distinct_actor_ids,0.3352846648301194,-0.0045111138861139,-0.0042689868271263,0.0035945553798397,0.2143169502819137,0.3664911853523002,0.2410094084690601,16573.0
147,Number of Project Forks,Open_Source_Compliance_Inspection_Bots,0.4123345877607243,-0.0014922577422577,-0.0114955220218376,0.0011221946046551,0.2940610730975279,0.3980532011487122,0.2102893413233861,996.0
148,Overall Activity Events of the Project,Open_Source_Compliance_Inspection_Bots,0.4265280018790084,-0.0007072194155821,-0.0020000868149453,0.0005204781983742,0.1616516149106608,0.3260738543075234,0.3093261287090006,1028.0
149,Number of Stars the Project Has Received,Open_Source_Compliance_Inspection_Bots,0.3396631205673759,-0.0034852967545275,-0.0013160283058903,0.0036299617992156,0.2164910551398471,0.3575945930561149,0.2242626196391478,1128.0
168,Number of Project Forks,Periodic_Report_Bots,0.4150630391506305,-0.0002679801949875,0.0136722252106866,0.0007553972797848,0.391307675639822,0.4011463686597478,0.1861819283079125,189.0
169,Overall Activity Events of the Project,Periodic_Report_Bots,0.4422017185388822,0.0055752815545652,0.0096151363423495,0.0002484657084717,0.1019440514328633,0.345601989473799,0.3224217548543155,208.0
170,Number of Stars the Project Has Received,Periodic_Report_Bots,0.356750705434916,-0.0002609864573055,-0.0198192470919741,0.0019198623260621,0.1785095089075816,0.3438109110366316,0.2473432962293357,207.0
189,Number of Project Forks,Workflow_Control_Bots,0.4021464646464647,-0.0062633019154758,-0.0068300042592106,0.0014658348593093,0.2662361563972568,0.386962256071797,0.2220015699895011,2836.0
190,Overall Activity Events of the Project,Workflow_Control_Bots,0.3906286125367209,-0.0039479365862686,0.042064364975703,0.0013768532723976,0.1967339698893145,0.3029608134970285,0.2750220226518055,2920.0
191,Number of Stars the Project Has Received,Workflow_Control_Bots,0.3277516084558823,-0.0061836966708954,0.0100754548449085,0.0044422055383825,0.2228190957839331,0.366833963549355,0.2293380361802624,3278.0
