metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
Number of Project Forks,CI_CD_Bots,0.40328282828282835,-0.0046620046620047,-0.01041411967985375,0.0012917376000929001,0.25373081207317294,0.3898484827879838,0.22763029518749428,10806.0
Activity of the Project,CI_CD_Bots,0.3948330651649238,-0.0020372381883572,0.028669801233904,0.001366093282289,0.194212942749109,0.310240081202712,0.2711693936368898,10589.0
Number of Stars,CI_CD_Bots,0.3354683195592287,-0.0056055056055056,-0.0060344457329382,0.0035227425269369,0.2138532972396082,0.37058944522557,0.241506517375348,12411.0
Number of New Contributors,CI_CD_Bots,0.3829252344877345,-0.0018669113691738,0.0036257106392854,0.00408332376945155,0.3594154933469139,0.44603473479525635,0.12991031082009244,1728.0
Number of Key Contributors,CI_CD_Bots,0.3737859362859362,-0.00123509882868175,0.0039858079630807,0.00386152683416895,0.2671623493269222,0.39324470613409473,0.1949165220778682,10452.0
Number of Inactive Contributors,CI_CD_Bots,0.5042241789623987,0.0418235610543302,0.0233734519448806,2.691226333412567e-13,1.3737065455699103e-09,0.1580565033757087,0.95823998172505,9429.0
Average Duration of Pull Requests,CI_CD_Bots,0.8457121541388959,-0.0020459572423722,-0.0041165996735836,3.435924398788913e-07,0.3671662936964681,0.4527193066614892,0.1208926139779712,5977.0
Average Duration of Pull Requests,CI_CD_Bots,0.4314372362398292,0.0181444114148133,0.0090550193538886,0.000121087768455,0.0453968091055491,0.190377900729702,0.4983383527864189,6967.0
Number of Reviews for Pull Requests,CI_CD_Bots,0.3508559845515389,0.0014276757888688,-0.011417981082735701,0.00504474445082105,0.24899775154416381,0.322102398760445,0.2140345686028598,3148.0
Average Time to Resolve Pull Requests,CI_CD_Bots,0.2494867806049242,-0.0005430243769557,-0.0035200015038724,0.040216065775653,0.3478014467907748,0.4244129151772986,0.1483003456999397,6595.0
Total Number of Pull Requests,CI_CD_Bots,0.3540609416383411,0.0015297202797202,0.02937165775401075,0.0041439693979478005,0.25585822593048857,0.3198396622711684,0.23619235850972398,6576.0
Total Number of Lines Changed,CI_CD_Bots,0.3676400628794429,0.0002834624031956,-0.00570571835789015,0.0018554461505447001,0.40287277570267715,0.43353715045779484,0.1025841088888247,6104.0
Number of Newly Raised Issues,CI_CD_Bots,0.3757575757575759,-0.00429350061703,0.0022967228849585,0.0025564259656064,0.2545712409369619,0.3562112640900682,0.2290101539327546,8163.0
Number of Comments on Issues,CI_CD_Bots,0.3251000942063119,-0.0025075934166843,0.0196391417619041,0.0072831635066111,0.2400314594225785,0.3165076488271843,0.2294349619049869,9749.0
Number of Closed Issues ,CI_CD_Bots,0.3062354312354312,-0.0020305781175346,0.0073194877411744,0.0113033815096042,0.3038260054481535,0.3654322885995621,0.1683500535326322,6173.0
Average Time to Resolve Issues,CI_CD_Bots,0.33716990122604673,-0.00959759240654555,0.0008691632071554,0.00748424160050385,0.26178912686956046,0.40654940986470656,0.211525669615859,7448.0
Number of Project Forks,Code_Review_Bots,0.40476641414141423,-0.0040792540792541,-0.0126742529531217,0.0013003122011686,0.2614822724273249,0.3934808878870547,0.22501749607409388,11234.0
Activity of the Project,Code_Review_Bots,0.3965981496558961,-0.0012129797286047,0.0286277950517709,0.0013460703316747,0.1954425126658315,0.3145169691777307,0.2717797058403183,11121.0
Number of Stars,Code_Review_Bots,0.33894227198455146,-0.0046814237986255,-0.0067273065434830005,0.0033757417828937,0.2144100705287036,0.37178944359663546,0.24181805318691124,12862.0
Number of New Contributors,Code_Review_Bots,0.3850108225108225,-0.001048951048951,0.0016650016650016,0.0040471762032516,0.367895627359171,0.4253830157330007,0.1309907530363927,1785.0
Number of Key Contributors,Code_Review_Bots,0.37272851059615764,-0.0006440927493559,0.004558342298726949,0.0039169368835732,0.26986721919292805,0.39311623029367576,0.1945426572730083,11002.0
Number of Inactive Contributors,Code_Review_Bots,0.5028564331843022,0.0419107919107918,0.0232249829024019,2.295602054990255e-13,9.704973286945163e-10,0.1568670755319341,0.9594768117351486,9711.0
Average Duration of Pull Requests,Code_Review_Bots,0.8461368391131344,-0.0020774162331187,-0.00477636871614325,3.3766293541061984e-07,0.36053997727180465,0.4440933336360567,0.1257048996203245,6346.0
Average Duration of Pull Requests,Code_Review_Bots,0.4377589080808114,0.01816400141386745,0.0004623025448587,0.0001029966295984,0.04511225281538845,0.17907746655425472,0.5040739796153415,7244.0
Number of Reviews for Pull Requests,Code_Review_Bots,0.34867641936607463,0.0021537397963253,-0.008888330591155649,0.005158015486821,0.24184050626387685,0.3286824268111565,0.21767569358699135,3348.0
Average Time to Resolve Pull Requests,Code_Review_Bots,0.24777011342448124,-0.0007886168892646,-0.00207646551429425,0.041683951574216005,0.3479330523748013,0.4335770838169658,0.14792107131107915,6920.0
Total Number of Pull Requests,Code_Review_Bots,0.354226475279107,0.0020648129813553,0.02902482902482885,0.00433445564653825,0.2558207054229207,0.3216914727491593,0.23479026212671966,6898.0
Total Number of Lines Changed,Code_Review_Bots,0.36338398406653694,4.733048650244721e-05,-0.00203367682898805,0.0020475652043151996,0.40400625655784705,0.43045220590386335,0.10425308809335634,6478.0
Number of Newly Raised Issues,Code_Review_Bots,0.3757575757575759,-0.0036130536130536,0.0060422034106244,0.0025322963428204,0.2531852349374257,0.3506420929402182,0.2290192476830703,8675.0
Number of Comments on Issues,Code_Review_Bots,0.3236948694869488,-0.0021610334110334,0.0242911317538181,0.0075735068702264,0.2358187629553941,0.3177344074083105,0.2319403617774018,10295.0
Number of Closed Issues ,Code_Review_Bots,0.30050036543543035,-0.00195474137580625,0.0151849971522102,0.0128713212772185,0.30848992148906035,0.3619153628657558,0.16885819519731124,6600.0
Average Time to Resolve Issues,Code_Review_Bots,0.3320289660577836,-0.0097946309094566,0.0061846617417195,0.0080681097671804,0.2596294026005752,0.4092552814415509,0.2116448241306999,7985.0
Number of Project Forks,Collaboration_and_Communication_Bots,0.408101851851852,0.0007609248988558,-0.0028512313116502,0.0009965586011519,0.25499796931629737,0.36832188831600915,0.24441916532845148,478.0
Activity of the Project,Collaboration_and_Communication_Bots,0.4314864042510996,0.0053932710319833,0.0108823453142147,0.0003346828801882,0.1161385226927209,0.3294588434991699,0.3113157367060287,495.0
Number of Stars,Collaboration_and_Communication_Bots,0.33995315875224275,-0.00060480169335775,-0.0125428493075549,0.0027850129840984996,0.22777833050068114,0.34125316057941685,0.2503343224565441,526.0
Number of New Contributors,Collaboration_and_Communication_Bots,0.413050964187328,-0.0007284382284382,-0.0044677544677545,0.0023802683362268,0.3603833631475006,0.389992212064091,0.1446628084559117,113.0
Number of Key Contributors,Collaboration_and_Communication_Bots,0.40372474747474774,0.00367132867132855,-0.0042173228557156,0.0015891739932611501,0.2337887836516872,0.36721845804972325,0.23396863093980658,494.0
Number of Inactive Contributors,Collaboration_and_Communication_Bots,0.5124269005847955,0.042593769866497,0.0246166114587168,7.374166606586069e-15,2.4355010995702215e-11,0.1635983202856176,0.973012015565207,375.0
Average Duration of Pull Requests,Collaboration_and_Communication_Bots,0.8371804060709368,-0.0002018030572101,-0.0069131436745072,4.692471632836033e-07,0.335060604046014,0.3910967274476322,0.1455335351542188,329.0
Average Duration of Pull Requests,Collaboration_and_Communication_Bots,0.4216991341991342,0.0211201638099481,0.0328625509149681,0.0001232062189153,0.0396547971737415,0.2192884742908848,0.5198677581265976,341.0
Number of Reviews for Pull Requests,Collaboration_and_Communication_Bots,0.3521269177311951,0.0029753147550102502,-0.00012863913660005,0.00251689609934765,0.19558041030549123,0.3416609041832501,0.26152039228389523,182.0
Average Time to Resolve Pull Requests,Collaboration_and_Communication_Bots,0.2345099567099567,-0.0001664121177606,0.0231818215493457,0.0466994548067953,0.3375125669220663,0.4347992626494301,0.1576773041805513,361.0
Total Number of Pull Requests,Collaboration_and_Communication_Bots,0.4019627156602523,0.00943677534586615,-0.05115711065750405,0.0011566567570738,0.22110418249858033,0.3467602136722763,0.2620958538901196,350.0
Total Number of Lines Changed,Collaboration_and_Communication_Bots,0.3626958033724968,0.002632050342675,-0.0050083303470768,0.0025312743982413,0.3572543073538526,0.4133827020674783,0.1138085797359541,343.0
Number of Newly Raised Issues,Collaboration_and_Communication_Bots,0.3873011126300602,-0.00028954848704065,-0.00848853527424945,0.0011270448312274,0.1818248629273522,0.34590676055167646,0.2972953387640236,430.0
Number of Comments on Issues,Collaboration_and_Communication_Bots,0.3521018156380171,0.0026133265939421,0.0075798185554282,0.0029470245605133,0.2027107861009194,0.2793934072308371,0.2689256424962424,469.0
Number of Closed Issues ,Collaboration_and_Communication_Bots,0.3024208228114478,0.00153477203303485,0.0108606802333158,0.007508844111558799,0.2727984949264428,0.3399518045613964,0.19383058475346615,348.0
Average Time to Resolve Issues,Collaboration_and_Communication_Bots,0.3484453248604193,-0.0111215960682264,0.036568104843853,0.0061211448026164,0.2278270996306148,0.3962145861627745,0.2334407152367739,415.0
Number of Project Forks,Configuration_Management_Bots,0.4233511586452766,-0.0004113533525298,0.0042424242424245,0.0007553972797848,0.4131137186050294,0.4120506983159987,0.1797366726401048,183.0
Activity of the Project,Configuration_Management_Bots,0.4483397254858951,0.0053932710319833,0.0077921162323763,0.0002594859125946,0.1113507617686567,0.3516152361109358,0.3054369412468148,199.0
Number of Stars,Configuration_Management_Bots,0.3590005986836131,-0.0002333315667852,-0.0219201568633385,0.0019384072144092,0.19409490438305116,0.3641030230680399,0.24263069512644256,202.0
Number of New Contributors,Configuration_Management_Bots,0.3881118881118882,-0.0002885464050512,-0.0153308230231306,0.0026261201174741,0.3095835201512013,0.3904642045286205,0.1442845098311653,47.0
Number of Key Contributors,Configuration_Management_Bots,0.440857438016529,0.00226522285345805,-0.012438130051766399,0.001088236053302,0.27232926296445725,0.3779547123008679,0.2539279329504137,198.0
Number of Inactive Contributors,Configuration_Management_Bots,0.4954603284755958,0.0427218934911241,0.0314219114219115,1.1073176889758936e-14,2.0742734367333587e-11,0.1411458717398338,0.9757592015656532,161.0
Average Duration of Pull Requests,Configuration_Management_Bots,0.8646163737287473,0.0009097081033918,-0.04232486658579995,3.443903335454097e-07,0.3504283966723074,0.4118532648654962,0.1513667006933291,134.0
Average Duration of Pull Requests,Configuration_Management_Bots,0.4068293015735482,0.0202050664467873,0.0350441195932664,0.0001531263071161,0.05139928485121585,0.25982114551292734,0.5513600123227613,140.0
Number of Reviews for Pull Requests,Configuration_Management_Bots,0.3327643386656263,-0.0010474107390407,0.007055619941856,0.0067841949772633,0.2834713410386206,0.5122308209028424,0.200356764444136,73.0
Average Time to Resolve Pull Requests,Configuration_Management_Bots,0.2371031746031745,0.0009383794418167,0.0155542423148055,0.0370212584463632,0.346082285214713,0.4342346666744449,0.1781891602038929,149.0
Total Number of Pull Requests,Configuration_Management_Bots,0.38859970103151215,0.008882550639016051,-0.04609544894198355,0.0019915863869419,0.2296695444084147,0.321093489906345,0.22476814125259764,142.0
Total Number of Lines Changed,Configuration_Management_Bots,0.33584588845686636,0.0007341012143446,-0.0062156814101940495,0.0030403697543364,0.4194246877102097,0.4545702821662539,0.10669177739911409,140.0
Number of Newly Raised Issues,Configuration_Management_Bots,0.3920454545454547,-0.0003973299427845,-0.0006177823448815,0.0008205096053713,0.170822411715371,0.3733856648381296,0.3260369071281441,183.0
Number of Comments on Issues,Configuration_Management_Bots,0.34906103815349643,0.00350198005548975,0.02763696950463065,0.0033433931939849003,0.17805261594748406,0.3042436060015191,0.27380713139021606,192.0
Number of Closed Issues ,Configuration_Management_Bots,0.3030047296453546,0.0010968085510147,0.015392782136814248,0.0080201718088363,0.21155954662174348,0.3069715474457308,0.199656058250232,154.0
Average Time to Resolve Issues,Configuration_Management_Bots,0.3391980656087532,-0.0143445687283168,0.0835543340839949,0.0089883996991112,0.2065105347280982,0.3901855513252429,0.2366904285512001,179.0
Number of Project Forks,Documentation_Generation_Bots,0.4089567550505052,-0.00329558262250575,0.0189477189477188,0.0012961271725957,0.31410288125880703,0.4852158106562934,0.1792624290626179,340.0
Activity of the Project,Documentation_Generation_Bots,0.4167390015670937,-0.0002306446582468825,0.0180977839535856,0.00036978420695965,0.08923248858575564,0.3891013271394106,0.3260421692966937,358.0
Number of Stars,Documentation_Generation_Bots,0.367108585858586,-0.0002331002331002,-0.0043123543123542,0.0019584249481803,0.2381073636217028,0.3927047390651836,0.224175242773421,359.0
Number of New Contributors,Documentation_Generation_Bots,0.39370872183372185,-0.0024474677454329,-0.0037393162393162,0.003428598441065,0.301228663208954,0.38872111734030046,0.1420958203598642,136.0
Number of Key Contributors,Documentation_Generation_Bots,0.43267664967431324,0.0028305028305027,-0.019003969003969,0.0011430520026155999,0.2178760180371344,0.4141313042901244,0.2663832494360589,356.0
Number of Inactive Contributors,Documentation_Generation_Bots,0.509010560146924,0.0422797202797202,0.0314219114219115,1.8946256788345692e-17,1.889469116141846e-13,0.0946589242243097,0.9835471952641326,283.0
Average Duration of Pull Requests,Documentation_Generation_Bots,0.8352061167306248,-0.00200099625857075,0.0033455556606702,5.5947159098099e-07,0.33525719093850465,0.4597858589977183,0.1643073987089264,254.0
Average Duration of Pull Requests,Documentation_Generation_Bots,0.41480441872743384,0.0202480540303283,0.0036211687515003,0.000140023265305,0.04477668396758915,0.2780574962842117,0.5139926238945138,256.0
Number of Reviews for Pull Requests,Documentation_Generation_Bots,0.3158971419662209,-0.00226428461077585,0.02680305158894845,0.0080932745520361,0.2445948529915604,0.4146785738084412,0.21801462385124587,152.0
Average Time to Resolve Pull Requests,Documentation_Generation_Bots,0.2519862618157505,-0.0006732623914707,0.0029353281971084,0.0264737980535385,0.3538611900990877,0.4165623375324668,0.1781891602038929,285.0
Total Number of Pull Requests,Documentation_Generation_Bots,0.3694584736251403,0.003821759635713,0.0098928848928848,0.0020450753349571,0.2259494315665208,0.4283859475135998,0.2093845351326515,273.0
Total Number of Lines Changed,Documentation_Generation_Bots,0.3307019708286466,-0.0003241214938482,0.0036834657438475,0.0033279015902198,0.4713719049974498,0.4960020281190213,0.0974520721950733,265.0
Number of Newly Raised Issues,Documentation_Generation_Bots,0.401715954728003,-0.0027316433566433,-0.019492412349555,0.0006842526851045,0.1828681083547945,0.3671709849228043,0.3295654714130016,321.0
Number of Comments on Issues,Documentation_Generation_Bots,0.3230343669488408,0.0005552749118925,0.039448510233290546,0.0052442355932683,0.16039700545676183,0.2981015156568684,0.29054769400218483,348.0
Number of Closed Issues ,Documentation_Generation_Bots,0.303987678987679,0.0035906401291016,-0.0058088578088578,0.0073334796007676,0.2545551478656562,0.3456939358974774,0.1952546903738591,279.0
Average Time to Resolve Issues,Documentation_Generation_Bots,0.33540911604707896,-0.014416577593391,0.0631359818253434,0.0089092468073155,0.19862723009763184,0.40283363532152316,0.2406424919264723,312.0
Number of Project Forks,Open_Source_Compliance_Inspection_Bots,0.4123345877607243,-0.00149225774225775,-0.01149552202183765,0.0011221946046551501,0.29406107309752794,0.39805320114871223,0.21028934132338617,996.0
Activity of the Project,Open_Source_Compliance_Inspection_Bots,0.4265280018790084,-0.0007072194155821,-0.0020000868149453004,0.0005204781983742001,0.16165161491066082,0.32607385430752345,0.30932612870900067,1028.0
Number of Stars,Open_Source_Compliance_Inspection_Bots,0.3396631205673759,-0.00348529675452755,-0.0013160283058903,0.0036299617992156504,0.21649105513984715,0.35759459305611496,0.2242626196391478,1128.0
Number of New Contributors,Open_Source_Compliance_Inspection_Bots,0.3944174535207144,-0.00337995337995335,-0.0229514075667922,0.00274727261921095,0.3462679648280075,0.36028184895627885,0.1551759845415539,190.0
Number of Key Contributors,Open_Source_Compliance_Inspection_Bots,0.3908199643493762,0.0020317520317519,5.297732570490321e-05,0.0030991431176531,0.2739594243391992,0.39340950423924,0.2177475693232493,1027.0
Number of Inactive Contributors,Open_Source_Compliance_Inspection_Bots,0.4999817890442891,0.0423344017094016,0.0305149396058487,5.1360443901332134e-14,2.0029301944995198e-10,0.1461622523877918,0.964912615585158,795.0
Average Duration of Pull Requests,Open_Source_Compliance_Inspection_Bots,0.8351182081001336,-0.0036449708222416,0.0062340841461269,4.500541652643501e-07,0.333417240991806,0.4430644189762791,0.1302604655316752,597.0
Average Duration of Pull Requests,Open_Source_Compliance_Inspection_Bots,0.4221534718916919,0.0180872556371309,0.0194057618626585,0.0001206830259765,0.0637411995988948,0.2041454368760228,0.514038885482677,663.0
Number of Reviews for Pull Requests,Open_Source_Compliance_Inspection_Bots,0.3373357481813364,-0.00062244518766255,0.0045157446447388,0.007221715497740051,0.22419074706791936,0.3533189325253,0.23317158735609045,324.0
Average Time to Resolve Pull Requests,Open_Source_Compliance_Inspection_Bots,0.23795850674910624,7.938556038223233e-05,0.0033205733729723,0.053206617907727155,0.35473800574940634,0.43271987157164993,0.1340579555670383,666.0
Total Number of Pull Requests,Open_Source_Compliance_Inspection_Bots,0.386430090377459,0.004095904095904,-0.0147486258597366,0.0022235940680715,0.2330370090701969,0.3242079020453827,0.2391223421124538,659.0
Total Number of Lines Changed,Open_Source_Compliance_Inspection_Bots,0.3920005038748239,7.889365520900946e-05,-0.008551242000557801,0.00118543581244175,0.45546628195739086,0.45518315846187873,0.09043546071487829,626.0
Number of Newly Raised Issues,Open_Source_Compliance_Inspection_Bots,0.38493494078442647,-0.00324592074592075,-0.002729906832074,0.0015719809375036998,0.2173714396070332,0.3442649698010978,0.27319670033332594,856.0
Number of Comments on Issues,Open_Source_Compliance_Inspection_Bots,0.3482860842306121,-0.0012216698963687,-0.0023058275058277,0.0043401253853011,0.2356548702500471,0.3070196984157076,0.250569928077368,983.0
Number of Closed Issues ,Open_Source_Compliance_Inspection_Bots,0.3131097910927457,-0.0010993540543259,0.00434370742726175,0.00844686159053705,0.28037455925914767,0.36410359867502107,0.18483690404969755,682.0
Average Time to Resolve Issues,Open_Source_Compliance_Inspection_Bots,0.3493306710720752,-0.0078435416705234,0.0031793008239999,0.0067419193449612,0.2612640897549846,0.3935157997054661,0.2046152731267366,813.0
Number of Project Forks,Periodic_Report_Bots,0.4150630391506305,-0.0002679801949875,0.0136722252106866,0.0007553972797848,0.391307675639822,0.4011463686597478,0.1861819283079125,189.0
Activity of the Project,Periodic_Report_Bots,0.44220171853888224,0.0055752815545652,0.00961513634234955,0.00024846570847175003,0.10194405143286335,0.34560198947379905,0.32242175485431557,208.0
Number of Stars,Periodic_Report_Bots,0.356750705434916,-0.0002609864573055,-0.0198192470919741,0.0019198623260621,0.1785095089075816,0.3438109110366316,0.2473432962293357,207.0
Number of New Contributors,Periodic_Report_Bots,0.3779698021885522,-0.00178467365967365,0.0170158947332862,0.0037982962699322498,0.4144353298585255,0.3904642045286205,0.1281998322346439,52.0
Number of Key Contributors,Periodic_Report_Bots,0.4309844367588933,0.0026876108965661,-0.0054070402171667,0.0011957908599174,0.2588085715358608,0.3895918630703301,0.2656945820627325,207.0
Number of Inactive Contributors,Periodic_Report_Bots,0.5074662275766632,0.04264451320858755,0.030656653952108398,1.163327779183273e-14,1.9990311217150962e-11,0.12803044345670944,0.9755608604677253,162.0
Average Duration of Pull Requests,Periodic_Report_Bots,0.8620815408886278,0.0008924874185902,-0.0262244916603213,3.6390799329796857e-07,0.3504283966723074,0.4107371467842147,0.1510951093542737,142.0
Average Duration of Pull Requests,Periodic_Report_Bots,0.407820204774686,0.0203304961347856,0.0215352333873997,0.0001330924545782,0.0494710551598224,0.2612490049676967,0.5560779231324213,147.0
Number of Reviews for Pull Requests,Periodic_Report_Bots,0.3327643386656263,-0.0020876591134783,0.0011063815411639,0.0067841949772633,0.2518021815350545,0.5122308209028424,0.2059703898907381,81.0
Average Time to Resolve Pull Requests,Periodic_Report_Bots,0.2393517897538872,0.00121483197527185,0.01586122808124545,0.0370003013933194,0.3440184737533327,0.44913769523648706,0.1683524479803219,158.0
Total Number of Pull Requests,Periodic_Report_Bots,0.3891785687296908,0.0084660709660709,-0.0443284193284193,0.002018741358465,0.2432215268163019,0.3202875655567554,0.2258716397873331,151.0
Total Number of Lines Changed,Periodic_Report_Bots,0.3377541507416344,0.0002863809726544,-0.003917395947906,0.0030403697543364,0.4237825691020453,0.4549068754393862,0.1000968684054129,149.0
Number of Newly Raised Issues,Periodic_Report_Bots,0.3920454545454547,-0.0003973299427845,-0.0005681818181816,0.0008460572724329,0.1738352213709541,0.3764079355154015,0.3204163783131966,191.0
Number of Comments on Issues,Periodic_Report_Bots,0.3495703991130822,0.004027018732901,0.0276870331614857,0.0031338467712921,0.1580699258380767,0.2824669011235715,0.2792069878590867,201.0
Number of Closed Issues ,Periodic_Report_Bots,0.3041177572427572,0.0013546120742158499,0.0108606802333158,0.0093355704310571,0.20258576481111218,0.3363229807834048,0.1952546903738591,162.0
Average Time to Resolve Issues,Periodic_Report_Bots,0.3391980656087532,-0.0132007040375487,0.0673296730935834,0.0082844711347193,0.2132798587135257,0.3895010010517156,0.2334407152367739,187.0
Number of Project Forks,Workflow_Control_Bots,0.4021464646464647,-0.00626330191547585,-0.0068300042592106,0.0014658348593093,0.2662361563972568,0.386962256071797,0.22200156998950116,2836.0
Activity of the Project,Workflow_Control_Bots,0.39062861253672093,-0.0039479365862686,0.042064364975703,0.0013768532723976998,0.19673396988931452,0.3029608134970285,0.27502202265180553,2920.0
Number of Stars,Workflow_Control_Bots,0.32775160845588236,-0.0061836966708954,0.01007545484490855,0.00444220553838255,0.22281909578393316,0.36683396354935505,0.22933803618026244,3278.0
Number of New Contributors,Workflow_Control_Bots,0.3881847319347319,-0.00205287137105325,-0.0028787318450777,0.00401905214294325,0.38013849387287085,0.44147950795586743,0.131300725024039,432.0
Number of Key Contributors,Workflow_Control_Bots,0.3697018259518261,-0.00229614135864135,0.0066469988344988,0.0038625541726841003,0.26463460520680626,0.38353142506087834,0.19593412893310003,2892.0
Number of Inactive Contributors,Workflow_Control_Bots,0.4957386363636365,0.0421406951257696,0.0246166114587168,1.3868866425680909e-13,2.8663612448172354e-10,0.1400726214489711,0.9636166253848356,2549.0
Average Duration of Pull Requests,Workflow_Control_Bots,0.8566130888525203,-0.0025989762713059,-0.01284826131267625,2.7515599095147396e-07,0.39172663813111924,0.4659556207382111,0.11631468535108544,1720.0
Average Duration of Pull Requests,Workflow_Control_Bots,0.4229520777810683,0.0158519982433025,0.0028755827505831,0.0001435849776645,0.0600983169174689,0.1952553641932644,0.4972395379816458,1889.0
Number of Reviews for Pull Requests,Workflow_Control_Bots,0.3506862622698256,0.0010515064161463,-0.00147216157986655,0.0056595179037376,0.2473652766583362,0.3661803373753064,0.1977906002555102,922.0
Average Time to Resolve Pull Requests,Workflow_Control_Bots,0.2451424598868812,-0.0023573986988621,0.0004335696925704,0.0420168529909821,0.3454987201398678,0.4380696031222637,0.1443697812759712,1887.0
Total Number of Pull Requests,Workflow_Control_Bots,0.3519291555005841,0.0014386655011654498,0.0321492165242164,0.0043987112140199,0.2596901790577377,0.3194777290104954,0.22656989928373544,1870.0
Total Number of Lines Changed,Workflow_Control_Bots,0.36886075200659896,0.00015617961462950002,-0.0021251625298557997,0.00181211806139665,0.416812448990842,0.4313163227884169,0.09785179924164,1758.0
Number of Newly Raised Issues,Workflow_Control_Bots,0.3677299904878382,-0.0054171180931745,0.019687073932357,0.0028780394200534,0.2370557671411218,0.3467193034544634,0.2316096355211245,2297.0
Number of Comments on Issues,Workflow_Control_Bots,0.3151667046403889,-0.00392208643172965,0.04085187186045555,0.007909214337136351,0.2377637549731302,0.30580228510583696,0.23589096253327863,2706.0
