repo_id,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared
0,0.5775862068965519,0.03580901856763919,0.11626878868258178,2.797250208982995e-16,1.6711182016822183e-10,0.013719111903947295,0.9735510215324019
1,0.5675757575757578,0.05090909090909084,0.02909090909090914,1.4073328448360594e-08,1.951916934872509e-06,0.7912253996610207,0.8966018658820811
2,0.6839225589225589,0.04681429681429675,-0.015475265475265731,1.2583867381288537e-08,6.132979079128556e-05,0.9062853452129683,0.8205836419560882
3,0.513674085250849,0.038490555088065405,0.1300912089293832,3.686869496953402e-19,8.648716474017036e-15,0.00012728150765296099,0.9905166040407664
4,0.5100839475839478,0.04365116865116858,0.0531379281379282,2.3565716902550356e-22,4.307554112994287e-19,0.012057178510796341,0.9954115743734213
5,0.4387179487179487,0.042721893491124194,0.048362919132150156,9.227018911404207e-19,1.0911822217970498e-16,0.06474979112948351,0.9920609491633392
6,0.5926573426573429,0.04324905863367395,-0.041210925826310335,2.855214606352986e-20,1.2283805551747877e-15,0.16035446694724326,0.9869795700456395
7,0.7695133149678607,0.05933460478915018,-0.27262131807586365,4.4615195069836605e-13,2.569205699013902e-09,0.0036948927129735994,0.908380159166676
8,0.7260101010101012,0.039044289044288964,0.05924630924630933,6.888712198176976e-09,0.0005594487507983081,0.6606733984940292,0.7916083916083916
9,0.8122294372294376,0.05719280719280712,-0.38869463869463927,3.3176432551042564e-11,4.5844484611917846e-07,0.002043409159717744,0.7931773973153278
10,0.4678030303030305,0.0591491841491841,-0.2514568764568764,0.0016809722232433123,0.0013251318117670123,0.26856732789549737,0.5957683670400962
11,11.000000000000004,-1.4710455076283324e-15,1.3322676295501878e-15,5.742045048012033e-309,0.04049854984818593,0.8877849072050784,-inf
12,0.5490387748452266,0.042421735970123,0.03454729261180879,1.7106455206332865e-18,2.0734081405531534e-14,0.29253527600072415,0.9861697150511669
13,0.45226158645276293,0.04224084738790616,0.04580590977649805,1.435435292746212e-17,3.7638880782068214e-15,0.132228097143969,0.9886915451025912
14,0.5222416472416473,0.040568405953021316,0.1328372482218626,8.57847327560391e-14,5.069558162506158e-10,0.01860264698339794,0.970286084623531
15,0.38363060989643283,0.03516420288572183,0.23309285651057807,4.2604329373256125e-13,1.1155035896994594e-10,1.4288015967519088e-05,0.9818858853183673
16,0.5256132756132756,0.043623043623043554,-0.07903207903207894,4.8496765101026106e-14,9.006047452535432e-11,0.1355253183661004,0.9551417065505983
17,0.3108585858585859,0.027738927738927666,0.4060217560217565,2.998436246825331e-18,2.0254851228351683e-15,6.611528636620942e-16,0.9969019679095724
18,0.49948347107438007,0.03663382072472974,0.17024263615172724,9.837848745912714e-14,1.5914386563716875e-09,0.002732769787685341,0.9707455669430426
19,0.37599681020733644,0.03827751196172243,0.040669856459330286,5.910224056525955e-10,1.5729038044574662e-08,0.5044331789551306,0.9446900826446281
20,0.5609402852049911,0.03388523241464411,0.11053407376936793,1.4978434064983257e-14,8.765356150776338e-09,0.042590767545410566,0.9592350380030801
21,33.000000000000014,-4.218847493575595e-15,3.552713678800501e-15,1.4550510793815094e-308,0.05896398965993306,0.9044794928677146,-inf
22,0.2940516273849605,0.02861952861952855,0.31088664421997786,1.3289564800047182e-07,4.28921632848289e-06,9.193233592058784e-05,0.9555479981011895
23,0.5164656771799631,0.04452690166975875,-0.008812615955473058,3.458610227365568e-20,5.087972217857292e-17,0.726991225707025,0.991335662388294
24,0.5303030303030307,0.01748251748251745,-0.29312354312354344,0.0017715033193308213,0.3484638125099975,0.2584930531510339,0.06074317839023735
25,0.5596472215341428,0.04238057582744224,0.03028413457568785,1.4182172073881152e-20,2.944822816737392e-16,0.2545029784312847,0.9908033050711627
26,0.49289772727272746,0.05659965034965031,-0.3979458041958042,0.0002609912936586792,0.0005240047527857216,0.05025355024056154,0.5473465811667195
27,0.6481331168831173,0.053009490509490456,-0.2581376956376958,4.29183034299476e-15,1.217506723680183e-11,0.00013886839647485468,0.9449577968824439
28,0.500785203280405,0.043380803457578825,0.018137972072713088,6.701169328728741e-26,1.0085029734957662e-22,0.17225985617573794,0.9977404656793912
29,0.766972610722611,0.05093464228079605,-0.1416644253182714,1.533845749644219e-11,5.953873621570135e-07,0.17172229885929413,0.8679749287588233
30,0.5179924242424241,0.03802447552447545,0.10967851592851605,8.472504478626971e-18,2.638933773097804e-13,0.0029629667826613446,0.9859055043957479
31,1.0000000000000004,-1.2836953722228372e-16,0.0,1.744206657338319e-308,0.06002312555574435,1.0,-inf
32,0.7074420677361857,0.04699712052653223,-0.18651446592623072,3.68514651064365e-14,3.746296628135099e-09,0.011734028576349436,0.9121868134519644
33,0.4464472309299896,0.04304316373281884,0.09842456394180549,6.942968124741862e-13,6.997688129917526e-11,0.06020684764293091,0.9732447966890804
34,0.4309573002754822,0.03687221869040045,0.11813943632125459,2.842208503884618e-11,1.7945103375060312e-08,0.054989294245173466,0.9555061046869662
35,0.5146627565982405,0.04443943153620568,-0.054778554778554644,1.8478729114245224e-16,2.135037591141807e-13,0.161389585041595,0.9774988457104766
36,0.4643697935530605,0.04248042793859522,0.04767178372756069,1.3635586739033763e-18,5.673337966081841e-16,0.08937630255644424,0.9906575286263889
37,0.587662337662338,0.03363303363303357,0.14402264402264386,2.948986512290347e-13,2.4753423639855495e-07,0.031299060453973244,0.9456276047185137
38,1.0416666666666674,0.01923076923076915,-0.14743589743589802,3.4011962717476153e-10,0.11278769753210034,0.36980266788749316,0.15384615384615385
39,0.5303587344028522,0.04332064993829693,0.018142396818867507,1.5159482326317376e-21,7.040403116561328e-18,0.418663440187069,0.993377725606716
40,0.6673197492163012,0.05094043887147329,-0.18312434691745041,9.402739235080597e-14,7.529936094805078e-10,0.012286974731736122,0.9293509999386471
41,0.38190730837789666,0.04352118469765524,0.08754970519676414,2.9566480232854088e-09,1.0960880639436153e-08,0.20307146564732226,0.9522177575268611
42,0.41609589041095907,0.03925184404636454,0.014137688795223147,3.1081394445227906e-15,5.838507648106125e-13,0.691181210156567,0.9795897991285704
43,0.38375130616509934,0.04135519652761027,0.07270315891005552,8.655513221023851e-08,6.722658395118262e-07,0.3850246400016242,0.9203481238587382
44,0.5915071770334915,0.04241810820758174,-0.030947123052385145,9.968585206885782e-16,3.6523125345836894e-11,0.5187093589034577,0.9643795383038729
45,0.4225,0.03884615384615378,0.015512820512820713,8.201677130957004e-12,1.682611034110884e-09,0.7740732149090126,0.9533737586052274
46,0.46047305112190634,0.037567394437623386,0.07527269168490548,1.4929090942689504e-15,4.704543339038318e-12,0.057449596780248385,0.9791545295391445
47,0.39861853832442073,0.031160016454134045,0.21921705745235165,4.279548661528157e-14,2.395082272267295e-10,1.1355540547647635e-05,0.9810542391817929
48,0.44577352472089316,0.045638571954361384,-0.10029444239970553,3.2904528527515485e-09,7.110263037637552e-08,0.21397418966130685,0.9034812413033912
49,0.3685342435342436,0.04040190578652113,-0.0034431380585226573,7.913533804607568e-10,5.919151253995098e-09,0.9545227304523348,0.9433485636330874
50,0.5139778062313276,0.04422338225155121,-0.028333169178239595,8.721469759388336e-14,8.028738651916912e-11,0.5865098451650258,0.9617612592753298
51,0.3039321789321789,0.034548784548784496,0.14493839493839517,1.508407614591486e-08,5.548971106117136e-08,0.021494779687034934,0.9541531043378909
52,0.31193693693693686,0.03534303534303528,0.2087664587664591,4.262396996638996e-08,1.5924963252962097e-07,0.003619691446898274,0.9558918906648767
53,0.5127137713771378,0.04003669597728997,0.1283526704318785,1.3320850760714246e-17,1.2152933832923169e-13,0.0008537604540470707,0.9874125532490973
54,0.37286931818181823,0.04534527972027967,0.11731497668997681,9.441229131042736e-07,1.1174663434070113e-06,0.22094304650646956,0.9222269298879753
55,0.5980639730639733,0.04215229215229207,0.028123111456445,6.643658731901806e-18,4.62035755369666e-13,0.45854851333000857,0.9807883562526019
56,0.441638608305275,0.03969178969178963,0.11320469653803,1.2060956709660396e-14,5.4539991490837e-12,0.009830150943315913,0.9807291921095087
57,0.4236531986531987,0.04409479409479404,-0.0458041958041957,1.3419695975427012e-13,3.4056282513049385e-12,0.30123988876305074,0.970973857810404
58,0.5591856060606063,0.038867382617382554,0.06781759906759907,5.235622238797492e-13,1.738505399340531e-08,0.2800865850603847,0.9481621578341763
59,0.46621621621621645,0.04469854469854466,-0.07692307692307698,7.685940440168003e-16,1.0954304075021003e-13,0.04829130205115195,0.9775715737254199
60,7.000000000000002,-8.604228440844963e-16,8.881784197001252e-16,1.454831814957073e-309,0.044034634854122116,0.8746104947618983,-inf
61,1.0587121212121218,0.04108391608391599,-0.28467365967366,1.0991843317558788e-08,0.00954855101535761,0.1681787163342624,0.37352176619192323
62,44.000000000000014,-5.88418203051333e-15,5.329070518200751e-15,5.742045048012033e-309,0.04049854984818593,0.8877849072050784,-inf
63,0.44370070568700715,0.04437685602069158,0.062226586199189055,5.254849541562117e-13,2.7120771533969253e-11,0.21386439752775305,0.9732396250832492
64,0.3806818181818183,0.05856643356643353,-0.16113053613053605,0.003845631129155353,0.0005594487507983009,0.4285183469712667,0.6871405357045044
65,0.5261331805449453,0.040004113533525225,0.0906789289142232,2.261257724170279e-19,4.024217063429313e-15,0.00371628339961886,0.990067373239898
66,0.5729545454545457,0.04353146853146847,-0.07904428904428908,1.9259165700420442e-21,3.90162675268504e-17,0.0034992457680801613,0.9895937810751916
67,0.4605978260869563,0.039506688963210634,0.15001393534002247,1.7333877657007934e-15,2.0841852489702893e-12,0.0006895680096644214,0.9842189742688122
68,0.5391975308641977,0.04715099715099709,-0.0812440645773978,1.1683064195736851e-17,1.1445571980423483e-14,0.028401474462077088,0.9820685896612329
69,0.42875986365970975,0.04093441227493611,0.10329141839157266,6.524876850284704e-18,1.1179575550351832e-15,0.0008816775316550525,0.9914961400667383
70,0.5130091902632888,0.042774848102716895,0.028368489434063227,1.184707823064836e-18,3.1837563843884247e-15,0.3450535620580829,0.9883040462531661
71,0.5149793388429754,0.04251430387794018,-0.11244437380801012,1.405694157932646e-13,2.665364177512704e-10,0.04466795166614765,0.9440501291490814
72,0.5142857142857143,0.041208791208791146,0.09835164835164845,2.565941595232403e-19,1.591330876900764e-15,0.0016892004583485903,0.9910592214146938
73,0.4139610389610391,0.016983016983016914,0.4152514152514154,5.1476839963539335e-08,0.01208344850297072,8.52151994698422e-05,0.9120830325649604
74,0.5245569269720708,0.04197173583596554,0.04268381748799499,2.0838103448865267e-23,1.5598404326691716e-19,0.02512003544571961,0.9957404853825165
75,0.5200090607067354,0.04179541388843708,0.03610730354916414,3.416085437272259e-26,2.450033186034541e-22,0.010779948758340166,0.997669443852852
76,0.5042323747680891,0.044214713857570934,0.01406629085200524,5.786851885740747e-23,6.485369731878223e-20,0.43995913142697773,0.9957405209471651
77,0.46363636363636374,0.04209790209790204,0.11149184149184166,4.3422127169044156e-16,1.8253333804337712e-13,0.004900405326316032,0.9860647615191569
78,0.5484509271822706,0.045245798977142204,-0.031755557874960844,1.3973650506648842e-24,5.694950845960756e-21,0.06422620233911161,0.9961690277158392
79,0.6691919191919196,0.05594405594405588,-0.17132867132867133,2.50076088084606e-12,2.980122266618656e-09,0.04264635215229713,0.9238261738261738
80,0.4131944444444443,0.0432692307692307,0.09188034188034214,1.0992506934713712e-10,1.9747688086112883e-09,0.1404167302894954,0.9609914324457594
81,0.39418377321603115,0.044101060230092415,0.008421685841040916,1.6380053177918115e-08,7.764887020850248e-08,0.9128632687138368,0.926697565695601
82,0.5118417181523978,0.040532283250729786,0.08966438092651705,7.993623259341289e-17,5.146998613643867e-13,0.021233777729675885,0.9837559743545387
83,0.5032828282828286,0.04324009324009319,-0.06888111888111885,5.001219492227923e-13,4.1993276847007843e-10,0.2235683509915958,0.9487472062027741
84,0.5468758149481043,0.05178556383375656,-0.06319383427817164,5.219974931683795e-12,6.548637437433455e-10,0.359310649350462,0.9487367499291355
85,0.5190615835777127,0.05193999548838252,-0.12059177381758013,2.750023488694927e-12,1.3154009716353104e-10,0.06481884584222578,0.9501596509087685
86,0.43595041322314054,0.04259376986649708,0.01917779190506473,3.519027403721304e-09,1.5913571249259274e-07,0.8053208617742132,0.9226378460249429
87,0.3153581267217631,0.034996821360457675,0.084583598219962,4.5484561234203884e-08,2.3432952462235225e-07,0.20532890720115526,0.934676683166539
88,0.6897657557166763,0.04099274958170656,-0.00725041829336312,3.16948683318931e-13,1.455502332063316e-07,0.9223845025703291,0.9177380390645248
89,0.8087121212121215,0.041083916083916004,-0.11800699300699308,3.391788073378682e-05,0.042066279796665454,0.6579261754796528,0.3801273353512157
90,0.6203703703703702,0.045584045584045524,0.020892687559354167,8.069950499619188e-12,7.258272783544426e-08,0.7921195666189382,0.9294618680487791
91,0.42619745845552315,0.044890593277690016,-0.0494398075043236,1.964515878798058e-08,2.3905309237781217e-07,0.5583096512424335,0.902883588388166
92,0.49901795735129084,0.04115945782612443,0.05444041555152673,1.057800115509427e-21,4.045886048427528e-18,0.014110995308778837,0.9943693851227314
93,0.5577094474153299,0.042060880296174344,0.06879884821061301,4.031552528876338e-16,6.090592176661324e-12,0.12042671296623703,0.9776812920465925
94,0.39393939393939403,0.05034965034965032,-0.13752913752913742,5.059230675632323e-05,3.17979366444123e-05,0.3103052616213898,0.7874812525975317
95,0.3137626262626263,0.03758741258741254,0.0813584563584564,2.102435464478367e-07,3.168165947487966e-07,0.2639118161518603,0.9304193617763057
96,0.6469352617079892,0.04381754609027329,-0.009901462174189468,3.9886185858129273e-13,2.1190956350914084e-08,0.8885174679050412,0.9336193104984255
97,0.46569264069264077,0.039410589410589336,0.1104062604062606,7.148577620176696e-17,1.2657516995919656e-13,0.002772706944411866,0.986793420721293
98,0.383254183627318,0.03676547333263745,0.1471227777197929,9.953328433157835e-13,1.0814181126973787e-10,0.0027314282305028912,0.9766643177262235
99,0.591666666666667,0.04999999999999994,-0.2500000000000001,1.4709691095592717e-09,6.842756061531178e-07,0.019886208695646074,0.824644549763033
100,0.49851778656126466,0.05495591365156576,-0.09063038410864463,3.9830394204829036e-10,2.7741971965592543e-09,0.2563116009526293,0.9368760399143142
101,0.43560606060606044,0.034128914563697106,0.26074288030809795,3.1565043955197594e-12,1.11544957952276e-08,6.21592868797727e-05,0.9724702629641557
102,0.4005681818181819,0.04431818181818177,0.08901515151515166,3.571753317493858e-08,1.951834310987926e-07,0.28418942632876387,0.9332579011613069
103,0.4550324675324677,0.04363136863136857,-0.06524309024309018,9.61646415539542e-13,1.0553331343800028e-10,0.21789571521330706,0.9562029996132936
104,0.5412608225108226,0.04251998001997994,0.07606976356976372,4.6216927160271635e-14,2.350144988947651e-10,0.16059410427659573,0.9678421516670006
105,0.432918932918933,0.038879923495308055,0.2257486103639952,4.016057424441834e-07,3.1193418440255127e-05,0.03806529790397416,0.9103111211596009
106,0.3357683982683982,0.038836163836163805,0.039918414918414885,2.454223806551826e-05,5.214170272006798e-05,0.7109763396374122,0.8475237556655271
107,0.35839160839160844,0.03738569123184503,0.11547426932042335,1.5321469225815052e-08,2.20464527193277e-07,0.10837770922865647,0.9395407962823693
108,0.12752525252525232,0.01748251748251742,0.48465423465423496,0.001537739504987979,0.0005702762479786281,6.494803190291252e-08,0.9638938905405972
109,0.5615881032547702,0.047461797461797385,-0.0911465078131744,1.6779060171040764e-12,1.713888671650139e-09,0.17703758547483503,0.9379712790730304
110,2.000000000000001,-2.5673907444456745e-16,0.0,1.744206657338319e-308,0.06002312555574435,1.0,-inf
111,0.4557109557109557,0.03953738569123179,0.16016675632060268,2.244408530476972e-16,2.3462580148128856e-13,0.00010901187471848009,0.9876981594814744
112,0.4630124777183599,0.03352529823118052,0.1663238722062252,1.8425916672599617e-16,6.32716025757352e-12,7.595538437264871e-05,0.98428504226697
113,0.4176634768740025,0.03726536621273453,0.16246472825420238,7.604867685088019e-16,4.413479768882195e-13,6.807386983704629e-05,0.9872948998518289
114,0.5590672348484851,0.03993662587412581,0.02857298951048956,1.876892014381683e-20,1.2545287421578067e-15,0.2873722916765794,0.989397155102599
115,0.700757575757576,0.04596873714520766,-0.036918963389551696,4.108370192892319e-12,2.4835193056655465e-07,0.6696401282072237,0.9058156558603014
116,0.537878787878788,0.0489510489510489,-0.10256410256410264,2.6618778278030885e-13,8.161489258992549e-11,0.08545090422522025,0.9539426091150227
117,0.4314086814086813,0.033453033453033396,0.1976626976626979,2.3676890617631124e-14,1.6082734791399268e-10,7.503783331379719e-05,0.9798421582275748
118,0.6564867424242427,0.05211975524475517,-0.1514787296037296,7.108959880152887e-13,2.3474973179081984e-09,0.05032645528356294,0.927220375334588
119,0.5330459770114946,0.04487179487179481,-0.10838491010904802,6.793408012421837e-17,1.3370997334041783e-13,0.008309782408962916,0.974916063187784
120,0.5332575757575757,0.04409090909090904,-0.01742424242424248,7.763373795282404e-13,1.2467384021162199e-09,0.7726254441606633,0.9503778315360861
121,0.4985337243401759,0.043819084141664716,0.02793443116023786,2.6021235414920793e-21,2.6743332847888796e-18,0.202168837795411,0.994129997233178
122,0.5073051948051952,0.04782717282717278,-0.1274975024975027,4.282184734993224e-13,6.679629696852445e-11,0.030400568723152065,0.9513929822227625
123,0.37266899766899775,0.03958221265913568,0.06988524296216617,2.503511801329977e-09,3.024242050364181e-08,0.2901859719430171,0.9449082388578713
124,0.5592998955067923,0.04714251265975398,-0.1174342898480829,1.0844710059722583e-18,2.351125321327139e-15,0.0013808744206191925,0.9829976413768203
125,0.35080922865013775,0.034885568976478,0.2309943844034755,8.58034797442964e-12,4.358659148121789e-10,3.723497010120827e-05,0.9789994411406052
126,0.6824494949494951,0.04195804195804188,-0.1562742812742813,2.776689813031257e-08,0.0003370036770040665,0.26308283991388093,0.6795006275775506
127,0.4908596837944665,0.043744299179081736,0.023981453329279492,1.2521086599176686e-12,5.105307475946727e-10,0.673770015703651,0.9597107112814486
128,0.46116678596993543,0.03733274599416325,0.0808784391461558,5.706171672365768e-21,3.115787044363964e-17,0.0007020294148821754,0.9937693138925314
129,0.5330578512396694,0.043547361729179834,0.11379529561347769,5.37617962859871e-12,8.821345372166182e-09,0.09853738889167352,0.956310494056099
130,0.37719298245614047,0.05465587044534409,-0.25236167341430493,0.0004570247601601143,7.866199904329838e-05,0.11817355545430068,0.708943424761119
131,0.49974747474747505,0.026456876456876416,-0.14526029526029538,5.923241933452354e-07,0.006335980036159688,0.24253271362372197,0.45267744890888306
132,0.7234848484848488,0.056818181818181754,-0.3068181818181819,9.995038536953325e-10,1.4586079985575782e-06,0.017255967236979065,0.8001715265866208
133,0.42760942760942755,0.02874902874902866,0.39575239575239607,4.554324883652366e-07,0.000789305391589699,0.0008323420867597972,0.9160689737612815
134,0.48063973063973087,0.03690753690753683,0.09414659414659438,1.2037475915460966e-09,2.341452187841271e-06,0.25053226158697955,0.9142286285143428
